TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos
637955606330168583,P3,tut,1,0,,300,Game Start
637955606377399191,P3,tut,1,0looking at red cube,1.389999,10.58974,-0.46
637955606377509217,P3,tut,1,0looking at red cube,1.389999,10.56726,-0.46
637955606377629242,P3,tut,1,0looking at red cube,1.389999,10.54509,-0.46
637955606378069345,P3,tut,1,0looking at red cube,1.389999,10.45606,-0.46
637955606378299393,P3,tut,1,0looking at red cube,1.389999,10.4112,-0.46
637955606379289620,P3,tut,1,0looking at red cube,1.389999,10.2123,-0.46
637955606379839746,P3,tut,1,0looking at red cube,1.389999,10.10122,-0.46
637955606380289851,P3,tut,1,0looking at red cube,1.389999,10.0119,-0.46
637955606380399874,P3,tut,1,0looking at red cube,1.389999,9.989595,-0.46
637955606380509906,P3,tut,1,0looking at red cube,1.389999,9.967216,-0.46
637955606380629917,P3,tut,1,0looking at red cube,1.389999,9.944597,-0.46
637955606380729942,P3,tut,1,0looking at red cube,1.389999,9.923032,-0.46
637955606380849965,P3,tut,1,0looking at red cube,1.389999,9.900229,-0.46
637955606380959995,P3,tut,1,0looking at red cube,1.389999,9.878386,-0.46
637955606381070019,P3,tut,1,0looking at red cube,1.389999,9.856294,-0.46
637955606381180037,P3,tut,1,0looking at red cube,1.389999,9.833653,-0.46
637955606381290066,P3,tut,1,0looking at red cube,1.389999,9.811815,-0.46
637955606381430102,P3,tut,1,0looking at red cube,1.389999,9.78451,-0.46
637955606381540123,P3,tut,1,0looking at red cube,1.389999,9.762594,-0.46
637955606381650145,P3,tut,1,0looking at red cube,1.389999,9.740113,-0.46
637955606381760168,P3,tut,1,0looking at red cube,1.389999,9.718633,-0.46
637955606381880195,P3,tut,1,0looking at red cube,1.389999,9.695243,-0.46
637955606381990225,P3,tut,1,0looking at red cube,1.389999,9.672315,-0.46
637955606382100248,P3,tut,1,0looking at red cube,1.389999,9.65056,-0.46
637955606382200267,P3,tut,1,0looking at red cube,1.389999,9.629514,-0.46
