TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xRotation, yRotation, zRotation, xPos, yPos, Zpos
637959021914358961,P9,tut,1,25,f,,HeadPos,-0.1012478,0.4697623,-0.01584274,12.23615,7.175605,0.156954
637959021914488989,P9,tut,1,25,f,,HeadPos,-0.1013603,0.4695311,-0.01610194,12.23605,7.175563,0.1568309
637959021914609018,P9,tut,1,25,f,,HeadPos,-0.1013461,0.4692874,-0.0163389,12.23592,7.175492,0.1567686
637959021914699031,P9,tut,1,25,f,,HeadPos,-0.1013288,0.4686237,-0.01688138,12.23563,7.175465,0.1565894
637959021914789054,P9,tut,1,25,f,,HeadPos,-0.1012833,0.4683379,-0.01705754,12.2355,7.175477,0.1565379
637959021914879075,P9,tut,1,25,f,,HeadPos,-0.1009874,0.4679552,-0.01720791,12.23535,7.175502,0.1564372
637959021914969101,P9,tut,1,25,f,,HeadPos,-0.1007933,0.4676781,-0.01732975,12.23524,7.175555,0.1563484
637959021915059120,P9,tut,1,25,f,,HeadPos,-0.1005439,0.4674579,-0.01749706,12.23512,7.175574,0.156267
637959021915149135,P9,tut,1,25,f,,HeadPos,-0.100381,0.4673015,-0.01766362,12.235,7.175564,0.156211
637959021915239160,P9,tut,1,25,f,,HeadPos,-0.1002068,0.4671445,-0.01782576,12.23486,7.175585,0.1561114
637959021915329174,P9,tut,1,25,f,,HeadPos,-0.1001005,0.4670695,-0.01786777,12.23469,7.17557,0.1560302
637959021915439203,P9,tut,1,25,f,,HeadPos,-0.1000363,0.467078,-0.01797519,12.23455,7.175613,0.1559146
637959021915549237,P9,tut,1,25,f,,HeadPos,-0.09994383,0.4671135,-0.0179949,12.23438,7.17563,0.1557992
637959021915659248,P9,tut,1,25,f,,HeadPos,-0.09983782,0.4670607,-0.01805223,12.23418,7.17568,0.1557344
637959021915769275,P9,tut,1,25,f,,HeadPos,-0.09978576,0.4672036,-0.01796049,12.23402,7.175687,0.1556221
637959021915879300,P9,tut,1,25,f,,HeadPos,-0.0998584,0.4673187,-0.01800653,12.23381,7.175752,0.1555621
637959021915989331,P9,tut,1,25,f,,HeadPos,-0.09982702,0.4674129,-0.01803343,12.23362,7.175764,0.1554562
637959021916099351,P9,tut,1,25,f,,HeadPos,-0.09986283,0.4676208,-0.01797743,12.23353,7.17582,0.1553417
637959021916209377,P9,tut,1,25,f,,HeadPos,-0.09980432,0.467762,-0.0179834,12.23335,7.175807,0.1552625
637959021916319397,P9,tut,1,25,f,,HeadPos,-0.09980085,0.4680128,-0.0180023,12.23319,7.175838,0.1551478
637959021916429424,P9,tut,1,25,f,,HeadPos,-0.09960145,0.468185,-0.01798765,12.23299,7.175827,0.1550186
637959021916549451,P9,tut,1,25,f,,HeadPos,-0.09949081,0.4685029,-0.0179332,12.2328,7.175876,0.1548918
637959021916659483,P9,tut,1,25,f,,HeadPos,-0.09927472,0.4688349,-0.0179373,12.23263,7.175937,0.1547191
637959021916759509,P9,tut,1,25,f,,HeadPos,-0.09895522,0.4692878,-0.01788663,12.23244,7.176004,0.1545531
637959021916879534,P9,tut,1,25,f,,HeadPos,-0.09860783,0.4698053,-0.01785668,12.2322,7.176036,0.1543666
637959021916989553,P9,tut,1,25,f,,HeadPos,-0.09807089,0.4705628,-0.01792286,12.23198,7.176138,0.1541375
637959021917089571,P9,tut,1,25,f,,HeadPos,-0.0974109,0.4715857,-0.01801185,12.23173,7.176285,0.153869
637959021917209603,P9,tut,1,25,f,,HeadPos,-0.09657532,0.4728002,-0.01812524,12.23141,7.176475,0.1535674
