TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos
637981616173391545,P21,tut,1,25,m,300,Game Start
637981616229738675,P21,tut,1,25,m,,looking at invis cube,1.389999,10.38752,-0.46
637981616229848368,P21,tut,1,25,m,,looking at invis cube,1.389999,10.35359,-0.46
637981616229963380,P21,tut,1,25,m,,looking at invis cube,1.389999,10.32024,-0.46
637981616230073097,P21,tut,1,25,m,,looking at invis cube,1.389999,10.28696,-0.46
637981616230192775,P21,tut,1,25,m,,looking at invis cube,1.389999,10.25332,-0.46
637981616230292498,P21,tut,1,25,m,,looking at invis cube,1.389999,10.22056,-0.46
637981616230402215,P21,tut,1,25,m,,looking at invis cube,1.389999,10.18617,-0.46
637981616230521883,P21,tut,1,25,m,,looking at invis cube,1.389999,10.15354,-0.46
637981616230631594,P21,tut,1,25,m,,looking at invis cube,1.389999,10.12051,-0.46
637981616230741299,P21,tut,1,25,m,,looking at invis cube,1.389999,10.08675,-0.46
637981616230841031,P21,tut,1,25,m,,looking at invis cube,1.389999,10.05367,-0.46
637981616230970683,P21,tut,1,25,m,,looking at invis cube,1.389999,10.02097,-0.46
637981616231100343,P21,tut,1,25,m,,looking at invis cube,1.389999,9.987382,-0.46
637981616231210039,P21,tut,1,25,m,,looking at invis cube,1.389999,9.949906,-0.46
637981616231309781,P21,tut,1,25,m,,looking at invis cube,1.389999,9.918661,-0.46
637981616231409510,P21,tut,1,25,m,,looking at invis cube,1.389999,9.886909,-0.46
637981616231509243,P21,tut,1,25,m,,looking at invis cube,1.389999,9.853644,-0.46
637981616231618963,P21,tut,1,25,m,,looking at invis cube,1.389999,9.820611,-0.46
637981616231738626,P21,tut,1,25,m,,looking at invis cube,1.389999,9.787664,-0.46
637981616231838360,P21,tut,1,25,m,,looking at invis cube,1.389999,9.754377,-0.46
637981616231958042,P21,tut,1,25,m,,looking at invis cube,1.389999,9.721048,-0.46
637981616232067766,P21,tut,1,25,m,,looking at invis cube,1.389999,9.687594,-0.46
637981616232187442,P21,tut,1,25,m,,looking at invis cube,1.389999,9.653481,-0.46
637981616232287160,P21,tut,1,25,m,,looking at invis cube,1.389999,9.620793,-0.46
637981616232406840,P21,tut,1,25,m,,looking at invis cube,1.389999,9.587106,-0.46
637981616232516554,P21,tut,1,25,m,,looking at invis cube,1.389999,9.554568,-0.46
637981616232626267,P21,tut,1,25,m,,looking at invis cube,1.389999,9.520702,-0.46
637981616232735982,P21,tut,1,25,m,,looking at invis cube,1.389999,9.487241,-0.46
637981616232845667,P21,tut,1,25,m,,looking at invis cube,1.389999,9.454438,-0.46
637981616232955377,P21,tut,1,25,m,,looking at invis cube,1.389999,9.421235,-0.46
637981616233075050,P21,tut,1,25,m,,looking at invis cube,1.389999,9.3863,-0.46
637981616233174802,P21,tut,1,25,m,,looking at invis cube,1.389999,9.354524,-0.46
637981616233284508,P21,tut,1,25,m,,looking at invis cube,1.389999,9.321144,-0.46
637981616233404178,P21,tut,1,25,m,,looking at invis cube,1.389999,9.286901,-0.46
637981616233633562,P21,tut,1,25,m,,looking at invis cube,1.389999,9.221044,-0.46
637981616233733313,P21,tut,1,25,m,,looking at invis cube,1.389999,9.18735,-0.46
637981616233852972,P21,tut,1,25,m,,looking at invis cube,1.389999,9.153754,-0.46
637981616234072384,P21,tut,1,25,m,,looking at invis cube,1.389999,9.086121,-0.46
637981616236695366,P21,tut,1,25,m,,looking at blue cube,1.389999,11.36327,0.944
637981616236954673,P21,tut,1,25,m,,looking at blue cube,1.389999,11.28691,0.944
637981616237064375,P21,tut,1,25,m,,looking at blue cube,1.389999,11.25365,0.944
637981616237174086,P21,tut,1,25,m,,looking at blue cube,1.389999,11.22022,0.944
637981616237842299,P21,tut,1,25,m,,looking at blue cube,1.389999,11.0205,0.944
637981616237951999,P21,tut,1,25,m,,looking at blue cube,1.389999,10.98668,0.944
637981616238959311,P21,tut,1,25,m,,looking at blue cube,1.389999,10.6871,0.944
637981616239059053,P21,tut,1,25,m,,looking at blue cube,1.389999,10.65368,0.944
637981616239178726,P21,tut,1,25,m,,looking at blue cube,1.389999,10.61978,0.944
637981616372352414,P21,tut,1,25,m,,looking at red cube,1.390015,7.45451,-3.12
637981616372452152,P21,tut,1,25,m,,looking at red cube,1.390015,7.42012,-3.12
637981616372571841,P21,tut,1,25,m,,looking at red cube,1.390015,7.388662,-3.12
637981616372671848,P21,tut,1,25,m,,looking at red cube,1.390015,7.355158,-3.12
637981616372781269,P21,tut,1,25,m,,looking at red cube,1.390015,7.32164,-3.12
637981616372890976,P21,tut,1,25,m,,looking at red cube,1.390015,7.288285,-3.12
637981616373010653,P21,tut,1,25,m,,looking at red cube,1.390015,7.254501,-3.12
637981616373110388,P21,tut,1,25,m,,looking at red cube,1.390015,7.222265,-3.12
637981616373240041,P21,tut,1,25,m,,looking at red cube,1.390015,7.188359,-3.12
637981616373339784,P21,tut,1,25,m,,looking at red cube,1.390015,7.155303,-3.12
637981616373449487,P21,tut,1,25,m,,looking at red cube,1.390015,7.121764,-3.12
