TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos, Group
637988483679329944,P24,tut,1,27,f,300,Game Start,c
637988483722579920,P24,tut,1,27,f,,looking at gold cube,1.389999,14.31884,-0.46,c
637988483722719915,P24,tut,1,27,f,,looking at gold cube,1.389999,14.27593,-0.46,c
637988483722839913,P24,tut,1,27,f,,looking at gold cube,1.389999,14.24052,-0.46,c
637988483722969918,P24,tut,1,27,f,,looking at gold cube,1.389999,14.2034,-0.46,c
637988483723089918,P24,tut,1,27,f,,looking at gold cube,1.389999,14.16367,-0.46,c
637988483723219914,P24,tut,1,27,f,,looking at gold cube,1.389999,14.12767,-0.46,c
637988483723349914,P24,tut,1,27,f,,looking at gold cube,1.389999,14.08792,-0.46,c
637988483723479918,P24,tut,1,27,f,,looking at gold cube,1.389999,14.04576,-0.46,c
637988483723599918,P24,tut,1,27,f,,looking at gold cube,1.389999,14.01052,-0.46,c
637988483723729911,P24,tut,1,27,f,,looking at gold cube,1.389999,13.97566,-0.46,c
637988483723859913,P24,tut,1,27,f,,looking at gold cube,1.389999,13.93555,-0.46,c
637988483723989918,P24,tut,1,27,f,,looking at gold cube,1.389999,13.8949,-0.46,c
637988483724119913,P24,tut,1,27,f,,looking at gold cube,1.389999,13.85513,-0.46,c
637988483725529914,P24,tut,1,27,f,,looking at gold cube,1.389999,13.43416,-0.46,c
637988483725749917,P24,tut,1,27,f,,looking at gold cube,1.389999,13.36789,-0.46,c
637988483725969917,P24,tut,1,27,f,,looking at gold cube,1.389999,13.30128,-0.46,c
637988483726859912,P24,tut,1,27,f,,looking at invis cube,1.389999,16.07679,0.944,c
637988483727079919,P24,tut,1,27,f,,looking at invis cube,1.389999,16.00931,0.944,c
637988483727299913,P24,tut,1,27,f,,looking at invis cube,1.389999,15.94365,0.944,c
637988483727539917,P24,tut,1,27,f,,looking at invis cube,1.389999,15.87729,0.944,c
637988483727749910,P24,tut,1,27,f,,looking at invis cube,1.389999,15.81059,0.944,c
637988483727969917,P24,tut,1,27,f,,looking at invis cube,1.389999,15.74399,0.944,c
637988483728189929,P24,tut,1,27,f,,looking at invis cube,1.389999,15.67733,0.944,c
637988483728409905,P24,tut,1,27,f,,looking at invis cube,1.389999,15.61087,0.944,c
637988483728639915,P24,tut,1,27,f,,looking at invis cube,1.389999,15.54416,0.944,c
637988483728849908,P24,tut,1,27,f,,looking at invis cube,1.389999,15.4775,0.944,c
637988483737789905,P24,tut,1,27,f,,looking at gold cube,1.389999,9.755447,-0.46,c
637988483737909903,P24,tut,1,27,f,,looking at gold cube,1.389999,9.71807,-0.46,c
637988483738029910,P24,tut,1,27,f,,looking at gold cube,1.389999,9.682742,-0.46,c
637988483738139905,P24,tut,1,27,f,,looking at gold cube,1.389999,9.646973,-0.46,c
637988483738269904,P24,tut,1,27,f,,looking at gold cube,1.389999,9.611247,-0.46,c
637988483738399900,P24,tut,1,27,f,,looking at gold cube,1.389999,9.573799,-0.46,c
637988483738519914,P24,tut,1,27,f,,looking at gold cube,1.389999,9.537168,-0.46,c
637988483738629905,P24,tut,1,27,f,,looking at gold cube,1.389999,9.501613,-0.46,c
637988483738759902,P24,tut,1,27,f,,looking at gold cube,1.389999,9.464822,-0.46,c
637988483738879903,P24,tut,1,27,f,,looking at gold cube,1.389999,9.427539,-0.46,c
637988483740959900,P24,tut,1,27,f,,looking at gold cube,1.389999,8.805344,-0.46,c
637988483741079906,P24,tut,1,27,f,,looking at gold cube,1.389999,8.766752,-0.46,c
637988483741199909,P24,tut,1,27,f,,looking at gold cube,1.389999,8.73208,-0.46,c
637988483741329907,P24,tut,1,27,f,,looking at gold cube,1.389999,8.691576,-0.46,c
637988483741449905,P24,tut,1,27,f,,looking at gold cube,1.389999,8.656184,-0.46,c
637988483741569902,P24,tut,1,27,f,,looking at gold cube,1.389999,8.620215,-0.46,c
637988483741699908,P24,tut,1,27,f,,looking at gold cube,1.389999,8.581514,-0.46,c
637988483741819908,P24,tut,1,27,f,,looking at gold cube,1.389999,8.545238,-0.46,c
637988483741939900,P24,tut,1,27,f,,looking at gold cube,1.389999,8.508034,-0.46,c
637988483742069906,P24,tut,1,27,f,,looking at gold cube,1.389999,8.469099,-0.46,c
637988483742189911,P24,tut,1,27,f,,looking at gold cube,1.389999,8.433683,-0.46,c
637988483742299901,P24,tut,1,27,f,,looking at gold cube,1.389999,8.3986,-0.46,c
637988483742429900,P24,tut,1,27,f,,looking at gold cube,1.389999,8.36259,-0.46,c
637988483742549905,P24,tut,1,27,f,,looking at gold cube,1.389999,8.327308,-0.46,c
637988483742739904,P24,tut,1,27,f,,looking at gold cube,1.389999,8.2701,-0.46,c
637988483742969900,P24,tut,1,27,f,,looking at gold cube,1.389999,8.203746,-0.46,c
637988483743179909,P24,tut,1,27,f,,looking at gold cube,1.389999,8.13701,-0.46,c
637988483743399900,P24,tut,1,27,f,,looking at gold cube,1.389999,8.070309,-0.46,c
637988483743619902,P24,tut,1,27,f,,looking at gold cube,1.389999,8.003683,-0.46,c
637988483743839898,P24,tut,1,27,f,,looking at gold cube,1.389999,7.937066,-0.46,c
637988483744069902,P24,tut,1,27,f,,looking at gold cube,1.389999,7.870122,-0.46,c
