"","X","Participant","Age","pacStay","pacMove","condition","partGroup"
"2",2,"P10",18,641.946875,382.474158653846,"co","e"
"4",4,"P12",22,649.578125,826.436789772727,"co","e"
"6",6,"P13",32,370.4359375,390.041940789474,"co","c"
"8",8,"P14",22,705.167351973684,342.2328125,"co","e"
"10",10,"P16",18,430.166852678571,345.924479166667,"co","e"
"12",12,"P18",31,446.2421875,346.751395089286,"co","c"
"14",14,"P19",30,384.803125,415.679276315789,"co","c"
"16",16,"P2",19,597.889914772727,277.1416015625,"co","e"
"18",18,"P20",25,435.225074404762,470.75441576087,"co","c"
"20",20,"P21",25,581.22109375,521.313100961538,"co","c"
"22",22,"P22",32,526.80859375,632.835582386364,"co","c"
"24",24,"P23",29,410.105902777778,510.966579861111,"co","c"
"26",26,"P24",27,510.676136363636,576.682552083333,"co","c"
"28",28,"P25",26,740.170572916667,735.419921875,"co","c"
"30",30,"P26",25,477.550130208333,557.51328125,"co","c"
"32",32,"P27",27,555.983258928571,504.175480769231,"co","c"
"34",34,"P28",20,533.378348214286,379.403125,"co","c"
"36",36,"P29",26,524.749080882353,518.508680555556,"co","c"
"38",38,"P30",18,452.376953125,347.081380208333,"co","c"
"40",40,"P4",22,549.392045454545,391.875558035714,"co","e"
"42",42,"P5",28,233.053571428571,437.603794642857,"co","c"
"44",44,"P6",23,436.139802631579,434.8678125,"co","e"
"46",46,"P7",26,596.2265625,526.665482954545,"co","e"
"48",48,"P9",18,548.294375,488.706194196429,"co","e"
"50",50,"P9",25,479.150082236842,422.244010416667,"co","c"
