"","Participant","Age","pacStay","pacMove","condition","partGroup"
"1","P10",18,743.41796875,472.318548387097,"s","e"
"2","P10",18,641.9421875,429.625919117647,"co","e"
"3","P12",22,693.13984375,438.728183962264,"s","e"
"4","P12",22,1265.96986607143,631.981889204545,"co","e"
"5","P13",32,436.987955729167,370.663306451613,"s","c"
"6","P13",32,438.696940104167,366.014756944444,"co","c"
"7","P14",22,382.20849609375,460.664221938775,"s","e"
"8","P14",22,666.336647727273,344.901278409091,"co","e"
"9","P16",18,380.393158783784,372.200148809524,"s","e"
"10","P16",18,622.095170454545,325.441127232143,"co","e"
"11","P18",31,252.846354166667,297.440573770492,"s","c"
"12","P18",31,654.6875,327.5482421875,"co","c"
"13","P19",30,430.517578125,368.802905701754,"s","c"
"14","P19",30,895.39609375,354.784598214286,"co","c"
"15","P2",19,468.130497685185,380.848668981481,"s","e"
"16","P2",19,868.638020833333,255.736979166667,"co","e"
"17","P20",25,430.781661184211,567.571484375,"s","c"
"18","P20",25,541.493689903846,685.783135775862,"co","c"
"19","P21",25,407.171316964286,440.236400462963,"s","c"
"20","P21",25,586.594587053571,642.334151785714,"co","c"
"21","P22",32,334.292410714286,650.116303066038,"s","c"
"22","P22",32,502.8740234375,617.688151041667,"co","c"
"23","P23",29,483.84326171875,372.597724780702,"s","c"
"24","P23",29,524.497321428571,552.599546370968,"co","c"
"25","P24",27,347.01875,499.875697544643,"s","c"
"26","P24",27,484.069711538462,608.854319852941,"co","c"
"27","P25",26,651.697916666667,727.680018538136,"s","c"
"28","P25",26,1505.41576086957,918.25875,"co","c"
"29","P26",25,381.674585459184,578.188701923077,"s","c"
"30","P26",25,519.483630952381,592.698214285714,"co","c"
"31","P27",27,376.226262019231,446.748557692308,"s","c"
"32","P27",27,594.875625,480.953881048387,"co","c"
"33","P28",20,419.864118303571,380.144965277778,"s","c"
"34","P28",20,525.344951923077,442.34296875,"co","c"
"35","P29",26,471.418569711538,522.860511363636,"s","c"
"36","P29",26,554.552455357143,494.2333984375,"co","c"
"37","P30",18,424.892939814815,503.975322420635,"s","c"
"38","P30",18,425.540865384615,589.043678977273,"co","c"
"39","P4",22,373.873372395833,348.1640625,"s","e"
"40","P4",22,856.751998546512,386.680555555556,"co","e"
"41","P5",28,374.187088815789,431.689132462687,"s","c"
"42","P5",28,950.748197115385,471.069411057692,"co","c"
"43","P6",23,407.073090277778,423.040234375,"s","e"
"44","P6",23,463.550426136364,442.474739583333,"co","e"
"45","P7",26,261.157291666667,318.663884943182,"s","e"
"46","P7",26,890.655924479167,479.309765625,"co","e"
"47","P9",18,534.46412627551,433.365418632075,"s","e"
"48","P9",18,550.165140086207,492.382080078125,"co","e"
"49","P9",25,440.657858455882,346.874830163043,"s","c"
"50","P9",25,479.149259868421,422.24609375,"co","c"
