"","Participant","Age","pacStay","pacMove","condition","partGroup"
"1","P10",18,752.1640625,585.747596153846,"s","e"
"2","P10",18,641.9421875,382.470552884615,"co","e"
"3","P12",22,628.291903409091,419.992527173913,"s","e"
"4","P12",22,1843.78683035714,826.4375,"co","e"
"5","P13",32,356.608141447368,415.803998161765,"s","c"
"6","P13",32,370.439583333333,390.043174342105,"co","c"
"7","P14",22,428.620163690476,396.678850446429,"s","e"
"8","P14",22,705.164473684211,342.2328125,"co","e"
"9","P16",18,337.61755952381,344.913730053192,"s","e"
"10","P16",18,568.860416666667,345.924153645833,"co","e"
"11","P18",31,158.443181818182,349.347321428571,"s","c"
"12","P18",31,446.240625,346.751674107143,"co","c"
"13","P19",30,422.87890625,371.029771959459,"s","c"
"14","P19",30,829.555606617647,415.680921052632,"co","c"
"15","P2",19,272.676682692308,376.627821180556,"s","e"
"16","P2",19,1108.95758928571,277.1435546875,"co","e"
"17","P20",25,368.215871710526,532.797776442308,"s","c"
"18","P20",25,607.047230113636,565.806966145833,"co","c"
"19","P21",25,389.102764423077,463.389723557692,"s","c"
"20","P21",25,581.2234375,521.313100961538,"co","c"
"21","P22",32,305.777777777778,662.4287109375,"s","c"
"22","P22",32,526.806463068182,632.834872159091,"co","c"
"23","P23",29,522.334375,390.438189338235,"s","c"
"24","P23",29,410.103298611111,596.780427631579,"co","c"
"25","P24",27,330.440716911765,484.85078125,"s","c"
"26","P24",27,510.675426136364,576.683072916667,"co","c"
"27","P25",26,503.925130208333,945.591045673077,"s","c"
"28","P25",26,847.8515625,1055.60572916667,"co","c"
"29","P26",25,366.826450892857,648.138113839286,"s","c"
"30","P26",25,477.548177083333,636.339657738095,"co","c"
"31","P27",27,314.682942708333,447.056949013158,"s","c"
"32","P27",27,555.982886904762,504.176983173077,"co","c"
"33","P28",20,429.639756944444,385.258272058824,"s","c"
"34","P28",20,533.378720238095,379.402604166667,"co","c"
"35","P29",26,501.275111607143,612.336476293103,"s","c"
"36","P29",26,648.95703125,518.510416666667,"co","c"
"37","P30",18,423.4404296875,564.252511160714,"s","c"
"38","P30",18,452.3779296875,546.382211538462,"co","c"
"39","P4",22,396.584558823529,327.78125,"s","e"
"40","P4",22,904.660456730769,391.876116071429,"co","e"
"41","P5",28,326.943359375,450.28857421875,"s","c"
"42","P5",28,1058.6845703125,437.60546875,"co","c"
"43","P6",23,410.2578125,436.971590909091,"s","e"
"44","P6",23,436.141036184211,434.8671875,"co","e"
"45","P7",26,276.3525390625,313.872098214286,"s","e"
"46","P7",26,1026.38581730769,526.667613636364,"co","e"
"47","P9",18,512.34423828125,454.489889705882,"s","e"
"48","P9",18,548.290625,488.705078125,"co","e"
"49","P9",25,425.508081896552,341.182692307692,"s","c"
"50","P9",25,479.149259868421,422.24609375,"co","c"
