"","Participant","Age","pacStay","pacMove","condition","partGroup"
"1","P10",18,752.171875,380.504557291667,"s","e"
"2","P10",18,641.946875,382.474158653846,"co","e"
"3","P12",22,628.291903409091,419.9921875,"s","e"
"4","P12",22,649.578125,826.436789772727,"co","e"
"5","P13",32,356.606907894737,415.801470588235,"s","c"
"6","P13",32,370.4359375,390.041940789474,"co","c"
"7","P14",22,428.620163690476,396.676618303571,"s","e"
"8","P14",22,705.167351973684,342.2328125,"co","e"
"9","P16",18,337.614955357143,344.914561170213,"s","e"
"10","P16",18,430.166852678571,345.924479166667,"co","e"
"11","P18",31,158.444602272727,349.346205357143,"s","c"
"12","P18",31,446.2421875,346.751395089286,"co","c"
"13","P19",30,422.882291666667,371.030194256757,"s","c"
"14","P19",30,384.803125,415.679276315789,"co","c"
"15","P2",19,272.677884615385,376.627604166667,"s","e"
"16","P2",19,597.889914772727,277.1416015625,"co","e"
"17","P20",25,368.216282894737,532.797475961538,"s","c"
"18","P20",25,435.225074404762,470.75441576087,"co","c"
"19","P21",25,389.103365384615,385.10375,"s","c"
"20","P21",25,581.22109375,521.313100961538,"co","c"
"21","P22",32,305.778645833333,544.616508152174,"s","c"
"22","P22",32,526.80859375,632.835582386364,"co","c"
"23","P23",29,522.334375,321.567234848485,"s","c"
"24","P23",29,410.105902777778,510.966579861111,"co","c"
"25","P24",27,330.44140625,484.850390625,"s","c"
"26","P24",27,510.676136363636,576.682552083333,"co","c"
"27","P25",26,503.923177083333,653.530230978261,"s","c"
"28","P25",26,740.170572916667,735.419921875,"co","c"
"29","P26",25,366.829241071429,535.846454326923,"s","c"
"30","P26",25,477.550130208333,557.51328125,"co","c"
"31","P27",27,314.68359375,447.057771381579,"s","c"
"32","P27",27,555.983258928571,504.175480769231,"co","c"
"33","P28",20,429.644097222222,385.256433823529,"s","c"
"34","P28",20,533.378348214286,379.403125,"co","c"
"35","P29",26,501.278738839286,539.866629464286,"s","c"
"36","P29",26,524.749080882353,518.508680555556,"co","c"
"37","P30",18,423.44287109375,564.253627232143,"s","c"
"38","P30",18,452.376953125,347.081380208333,"co","c"
"39","P4",22,396.583639705882,327.779119318182,"s","e"
"40","P4",22,549.392045454545,391.875558035714,"co","e"
"41","P5",28,326.94140625,450.2890625,"s","c"
"42","P5",28,233.053571428571,437.603794642857,"co","c"
"43","P6",23,410.257575757576,436.971590909091,"s","e"
"44","P6",23,436.139802631579,434.8678125,"co","e"
"45","P7",26,276.3525390625,313.871875,"s","e"
"46","P7",26,596.2265625,526.665482954545,"co","e"
"47","P9",18,512.346435546875,454.490579044118,"s","e"
"48","P9",18,548.294375,488.706194196429,"co","e"
"49","P9",25,425.508081896552,341.182892628205,"s","c"
"50","P9",25,479.150082236842,422.244010416667,"co","c"
