,Participant,Age,pacStay,pacMove,condition,partGroup
1,P10,18,752.171875,380.5045573,s,e
2,P10,18,641.946875,382.4741587,co,e
3,P12,22,628.2919034,419.9921875,s,e
4,P12,22,649.578125,826.4367898,co,e
5,P13,32,356.6069079,415.8014706,s,c
6,P13,32,370.4359375,390.0419408,co,c
9,P16,18,337.6149554,344.9145612,s,e
10,P16,18,430.1668527,345.9244792,co,e
11,P18,31,158.4446023,349.3462054,s,c
12,P18,31,446.2421875,346.7513951,co,c
13,P19,30,422.8822917,371.0301943,s,c
14,P19,30,384.803125,415.6792763,co,c
17,P20,25,368.2162829,532.797476,s,c
18,P20,25,435.2250744,470.7544158,co,c
23,P23,29,522.334375,321.5672348,s,c
24,P23,29,410.1059028,510.9665799,co,c
25,P24,27,330.4414063,484.8503906,s,c
26,P24,27,510.6761364,576.6825521,co,c
29,P26,25,366.8292411,535.8464543,s,c
30,P26,25,477.5501302,557.5132813,co,c
31,P27,27,314.6835938,447.0577714,s,c
32,P27,27,555.9832589,504.1754808,co,c
33,P28,20,429.6440972,385.2564338,s,c
34,P28,20,533.3783482,379.403125,co,c
35,P29,26,501.2787388,539.8666295,s,c
36,P29,26,524.7490809,518.5086806,co,c
37,P30,18,423.4428711,564.2536272,s,c
38,P30,18,452.3769531,347.0813802,co,c
39,P4,22,396.5836397,327.7791193,s,e
40,P4,22,549.3920455,391.875558,co,e
41,P5,28,326.9414063,450.2890625,s,c
42,P5,28,233.0535714,437.6037946,co,c
43,P6,23,410.2575758,436.9715909,s,e
44,P6,23,436.1398026,434.8678125,co,e
45,P7,26,276.3525391,313.871875,s,e
46,P7,26,596.2265625,526.665483,co,e
47,P9,18,512.3464355,454.490579,s,e
48,P9,18,548.294375,488.7061942,co,e
49,P9,25,425.5080819,341.1828926,s,c
50,P9,25,479.1500822,422.2440104,co,c
