TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, rightEye, leftEye, zPos, Group
638004786259886204,P30,s,1,18,f,300,Game Start,,,,c
638004786338496235,P30,s,1,18,f,,RightPupil,3.556122,3.661514,,c
638004786338576227,P30,s,1,18,f,,RightPupil,3.556122,3.661514,,c
638004786338686226,P30,s,1,18,f,,RightPupil,3.47963,3.723526,,c
638004786338756528,P30,s,1,18,f,,RightPupil,3.636551,3.682556,,c
638004786338826484,P30,s,1,18,f,,RightPupil,3.721527,3.719666,,c
638004786338896484,P30,s,1,18,f,,RightPupil,3.543076,3.721786,,c
638004786339006600,P30,s,1,18,f,,RightPupil,3.556091,3.7211,,c
638004786339126272,P30,s,1,18,f,,RightPupil,3.542786,3.723068,,c
638004786339236504,P30,s,1,18,f,,RightPupil,3.466766,3.725571,,c
638004786339606271,P30,s,1,18,f,,RightPupil,3.57576,3.777939,,c
638004786340106612,P30,s,1,18,f,,RightPupil,3.659805,3.955154,,c
638004786340608432,P30,s,1,18,f,,RightPupil,3.720245,3.945328,,c
638004786340688391,P30,s,1,18,f,,RightPupil,3.785202,3.952545,,c
638004786340788389,P30,s,1,18,f,,RightPupil,3.837219,3.960327,,c
638004786340908388,P30,s,1,18,f,,RightPupil,3.895142,3.96907,,c
638004786341018390,P30,s,1,18,f,,RightPupil,3.651443,3.9776,,c
638004786341238389,P30,s,1,18,f,,RightPupil,3.842102,3.977188,,c
638004786341458689,P30,s,1,18,f,,RightPupil,3.920654,3.977341,,c
638004786341688683,P30,s,1,18,f,,RightPupil,3.886749,3.984146,,c
638004786341908739,P30,s,1,18,f,,RightPupil,3.869324,4.007736,,c
638004786342118431,P30,s,1,18,f,,RightPupil,3.895309,4.006165,,c
638004786342338823,P30,s,1,18,f,,RightPupil,3.97052,4.006958,,c
638004786342568424,P30,s,1,18,f,,RightPupil,3.814438,3.974854,,c
638004786342788432,P30,s,1,18,f,,RightPupil,4.031387,4.063995,,c
638004786343021304,P30,s,1,18,f,,RightPupil,4.073761,4.313629,,c
638004786343241312,P30,s,1,18,f,,RightPupil,4.061676,4.256516,,c
638004786343461304,P30,s,1,18,f,,RightPupil,4.234283,4.378922,,c
638004786343681308,P30,s,1,18,f,,RightPupil,4.097656,3.800217,,c
638004786343901827,P30,s,1,18,f,,RightPupil,-1,4.467026,,c
638004786344120422,P30,s,1,18,f,,RightPupil,-1,4.262863,,c
638004786344340430,P30,s,1,18,f,,RightPupil,4.165161,4.204056,,c
638004786344560422,P30,s,1,18,f,,RightPupil,4.049652,4.013184,,c
638004786344800425,P30,s,1,18,f,,RightPupil,4.037704,4.110428,,c
638004786345020466,P30,s,1,18,f,,RightPupil,3.980804,4.305481,,c
638004786345240762,P30,s,1,18,f,,RightPupil,3.915283,4.043381,,c
638004786345460710,P30,s,1,18,f,,RightPupil,3.836319,4.218857,,c
638004786345680747,P30,s,1,18,f,,RightPupil,3.969986,4.187149,,c
638004786345900829,P30,s,1,18,f,,RightPupil,4.020706,4.191971,,c
638004786346160801,P30,s,1,18,f,,RightPupil,3.980972,4.325104,,c
638004786346230801,P30,s,1,18,f,,RightPupil,3.980972,4.325104,,c
638004786346340797,P30,s,1,18,f,,RightPupil,3.982315,4.264297,,c
638004786346451041,P30,s,1,18,f,,RightPupil,4.017914,4.178848,,c
638004786346560799,P30,s,1,18,f,,RightPupil,3.958511,4.326706,,c
638004786346681027,P30,s,1,18,f,,RightPupil,4.004532,4.012955,,c
638004786346780805,P30,s,1,18,f,,RightPupil,4.067673,4.339783,,c
638004786346911044,P30,s,1,18,f,,RightPupil,4.002747,4.138245,,c
638004786347010798,P30,s,1,18,f,,RightPupil,4.055496,3.828949,,c
638004786347121078,P30,s,1,18,f,,RightPupil,4.041565,3.846115,,c
638004786347241051,P30,s,1,18,f,,RightPupil,4.040115,3.90181,,c
638004786347340812,P30,s,1,18,f,,RightPupil,4.050339,3.947906,,c
638004786347450797,P30,s,1,18,f,,RightPupil,4.068329,4.126236,,c
638004786347561137,P30,s,1,18,f,,RightPupil,4.045349,4.254623,,c
638004786347670793,P30,s,1,18,f,,RightPupil,4.069977,3.902817,,c
638004786347791115,P30,s,1,18,f,,RightPupil,4.10025,4.190353,,c
638004786347910796,P30,s,1,18,f,,RightPupil,4.263947,3.966476,,c
638004786348020851,P30,s,1,18,f,,RightPupil,4.152008,4.302063,,c
638004786348120842,P30,s,1,18,f,,RightPupil,4.215454,4.24028,,c
638004786348230848,P30,s,1,18,f,,RightPupil,4.174591,4.133392,,c
638004786348340853,P30,s,1,18,f,,RightPupil,4.125427,4.363083,,c
638004786348450845,P30,s,1,18,f,,RightPupil,4.16449,4.317429,,c
638004786348570841,P30,s,1,18,f,,RightPupil,4.163803,4.22757,,c
638004786348670849,P30,s,1,18,f,,RightPupil,4.221191,4.30687,,c
638004786348780845,P30,s,1,18,f,,RightPupil,4.060028,4.217514,,c
638004786348900845,P30,s,1,18,f,,RightPupil,4.014435,4.107376,,c
638004786349000842,P30,s,1,18,f,,RightPupil,4.040375,3.985016,,c
638004786349180845,P30,s,1,18,f,,RightPupil,4.038956,3.923126,,c
638004786349280848,P30,s,1,18,f,,RightPupil,4.004486,4.06012,,c
638004786349400845,P30,s,1,18,f,,RightPupil,3.974258,3.978333,,c
638004786349510846,P30,s,1,18,f,,RightPupil,3.883682,4.124756,,c
638004786349610845,P30,s,1,18,f,,RightPupil,3.819962,4.006332,,c
638004786349720847,P30,s,1,18,f,,RightPupil,3.991043,4.163696,,c
638004786349840844,P30,s,1,18,f,,RightPupil,3.872513,4.256775,,c
638004786349960845,P30,s,1,18,f,,RightPupil,4.065033,3.961624,,c
638004786350060899,P30,s,1,18,f,,RightPupil,3.956284,4.224472,,c
638004786350170898,P30,s,1,18,f,,RightPupil,3.992096,4.134842,,c
638004786350280890,P30,s,1,18,f,,RightPupil,3.941635,4.216293,,c
638004786350400895,P30,s,1,18,f,,RightPupil,3.93158,4.268005,,c
638004786350500899,P30,s,1,18,f,,RightPupil,4.127533,4.063065,,c
638004786350610889,P30,s,1,18,f,,RightPupil,3.971603,4.065765,,c
638004786350720897,P30,s,1,18,f,,RightPupil,3.975266,4.069107,,c
638004786350830895,P30,s,1,18,f,,RightPupil,3.973831,4.154297,,c
638004786350950892,P30,s,1,18,f,,RightPupil,4.028427,4.111725,,c
638004786351050945,P30,s,1,18,f,,RightPupil,3.891296,4.155899,,c
638004786351180939,P30,s,1,18,f,,RightPupil,3.913528,4.155945,,c
638004786351290937,P30,s,1,18,f,,RightPupil,3.916107,4.168396,,c
638004786351400938,P30,s,1,18,f,,RightPupil,3.922653,4.156158,,c
638004786351500940,P30,s,1,18,f,,RightPupil,3.957352,4.182083,,c
638004786351610937,P30,s,1,18,f,,RightPupil,3.941055,4.182129,,c
638004786351730938,P30,s,1,18,f,,RightPupil,3.954712,4.191849,,c
638004786351840937,P30,s,1,18,f,,RightPupil,3.978989,3.910217,,c
638004786351940931,P30,s,1,18,f,,RightPupil,3.992508,4.31459,,c
638004786352050934,P30,s,1,18,f,,RightPupil,4.006546,4.305634,,c
638004786352170938,P30,s,1,18,f,,RightPupil,4.00676,4.39798,,c
638004786352280935,P30,s,1,18,f,,RightPupil,4.016632,4.369873,,c
638004786352400938,P30,s,1,18,f,,RightPupil,4.015549,4.355148,,c
638004786352500939,P30,s,1,18,f,,RightPupil,4.141602,4.456863,,c
638004786352610934,P30,s,1,18,f,,RightPupil,4.136337,4.429855,,c
638004786352730937,P30,s,1,18,f,,RightPupil,4.108688,4.355179,,c
638004786352830935,P30,s,1,18,f,,RightPupil,4.068054,4.301529,,c
638004786352950933,P30,s,1,18,f,,RightPupil,4.314529,4.339172,,c
638004786353052779,P30,s,1,18,f,,RightPupil,4.185974,4.310623,,c
638004786353162781,P30,s,1,18,f,,RightPupil,4.294632,4.321365,,c
638004786353282776,P30,s,1,18,f,,RightPupil,4.232117,4.500763,,c
638004786353382780,P30,s,1,18,f,,RightPupil,4.097549,4.417267,,c
638004786353512784,P30,s,1,18,f,,RightPupil,4.2314,4.260529,,c
638004786353612783,P30,s,1,18,f,,RightPupil,4.251938,4.219894,,c
638004786353722778,P30,s,1,18,f,,RightPupil,4.22963,4.170273,,c
638004786353832782,P30,s,1,18,f,,RightPupil,4.123413,4.239792,,c
638004786353952783,P30,s,1,18,f,,RightPupil,4.084946,4.291733,,c
638004786354052784,P30,s,1,18,f,,RightPupil,4.121201,4.235687,,c
638004786354162785,P30,s,1,18,f,,RightPupil,4.184647,4.255188,,c
638004786354272780,P30,s,1,18,f,,RightPupil,4.211975,4.309921,,c
638004786354382785,P30,s,1,18,f,,RightPupil,4.21698,4.297653,,c
638004786354502778,P30,s,1,18,f,,RightPupil,4.2323,4.318695,,c
638004786354622776,P30,s,1,18,f,,RightPupil,4.242035,4.345871,,c
638004786354722781,P30,s,1,18,f,,RightPupil,4.231354,4.373764,,c
638004786354832780,P30,s,1,18,f,,RightPupil,4.241776,4.454849,,c
638004786354942784,P30,s,1,18,f,,RightPupil,4.241714,4.479248,,c
638004786355062812,P30,s,1,18,f,,RightPupil,4.241837,4.503387,,c
638004786355162822,P30,s,1,18,f,,RightPupil,4.260574,4.514755,,c
638004786355272816,P30,s,1,18,f,,RightPupil,4.258316,4.514603,,c
638004786355382811,P30,s,1,18,f,,RightPupil,4.25943,4.514282,,c
638004786355502826,P30,s,1,18,f,,RightPupil,4.258942,4.546722,,c
638004786355612810,P30,s,1,18,f,,RightPupil,4.254089,4.557999,,c
638004786355732811,P30,s,1,18,f,,RightPupil,4.261124,4.558029,,c
638004786355832816,P30,s,1,18,f,,RightPupil,4.259598,4.281937,,c
638004786355942810,P30,s,1,18,f,,RightPupil,4.430435,4.217972,,c
638004786356053147,P30,s,1,18,f,,RightPupil,4.54245,4.1754,,c
638004786356163147,P30,s,1,18,f,,RightPupil,4.426987,4.324585,,c
638004786356273152,P30,s,1,18,f,,RightPupil,4.564926,4.353668,,c
638004786356383152,P30,s,1,18,f,,RightPupil,4.430542,4.259583,,c
638004786356493155,P30,s,1,18,f,,RightPupil,4.509644,4.344055,,c
638004786356603151,P30,s,1,18,f,,RightPupil,4.505905,4.333511,,c
638004786356733153,P30,s,1,18,f,,RightPupil,4.503769,4.310394,,c
638004786356833151,P30,s,1,18,f,,RightPupil,4.502838,4.309662,,c
638004786356943143,P30,s,1,18,f,,RightPupil,4.501938,4.332718,,c
