"Time","Participant","Age","Sex","Handedness","Task","Group","Condition","Trial","Event","CurrentGazeTarget","CurrentGazeArea","EyePos_X","EyePos_Y","EyePos_Z","eyeAngleX","eyeAngleY","eyeAngleZ","HeadPos_X","HeadPos_Y","HeadPos_Z","HeadRot_X","HeadRot_Y","HeadRot_Z","HandPos_X","HandPos_Y","HandPos_Z","HandRot_X","HandRot_Y","HandRot_Z","RayCast_StartPos_X","RayCast_StartPos_Y","RayCast_StartPos_Z","RayCast_EndPos_X","RayCast_EndPos_Y","RayCast_EndPos_Z","Partner_HeadPos_X","Partner_HeadPos_Y","Partner_HeadPos_Z","Partner_HeadRot_X","Partner_HeadRot_Y","Partner_HeadRot_Z","Partner_HandPos_X","Partner_HandPos_Y","Partner_HandPos_Z","Partner_HandRot_X","Partner_HandRot_Y","Partner_HandRot_Z","Partner_RayCast_StartPos_X","Partner_RayCast_StartPos_Y","Partner_RayCast_StartPos_Z","Partner_RayCast_EndPos_X","Partner_RayCast_EndPos_Y","Partner_RayCast_EndPos_Z","RightPupil","LeftPupil"
638264963809255506,"sd10",24,"f","Right","Loom","e","comp",2,"playing","none","build_wall",13.3456,7.263148,9.86,2.717432,0.9269029,24.83434,12.26534,6.946033,0.0289835,-0.01323557,-0.06582862,0.0481312,12.396,6.455348,0.4242762,0.04954606,0.05370063,-0.0658711,12.39391,6.453972,0.4230401,13.34121,5.314312,10.31262,-9.529348,5.588963,-0.5246048,0.03313758,-0.9942316,-0.09002195,-9.621861,5.266657,-0.2170981,0.969969,0.09763896,-1.053665,-9.621861,5.266657,-1.053665,-11.00487,6.94538,-10.81426,3.458344,3.502151
638264963809365219,"sd10",24,"f","Right","Loom","e","comp",2,"playing","none","build_wall",13.28083,7.099838,9.86,2.556501,0.5143748,24.86327,12.26545,6.946239,0.02915497,-0.01407444,-0.06504324,0.04831899,12.39701,6.45678,0.4252444,0.04588228,0.05482459,-0.06772976,12.39544,6.455338,0.4241627,13.39915,5.398486,10.31737,-9.52906,5.589148,-0.5244904,0.03331754,-0.9940836,-0.09056397,-9.621457,5.266397,-0.2163897,0.9700992,0.09817088,-1.053162,-9.621457,5.266397,-1.053162,-11.01455,6.943696,-10.81257,3.458344,3.502151
638264963809484892,"sd10",24,"f","Right","Loom","e","comp",2,"playing","none","build_wall",13.29574,7.117696,9.86,2.593503,0.5590342,24.85847,12.26555,6.946402,0.02936292,-0.01477882,-0.06482077,0.0484915,12.39824,6.458213,0.42618,0.04299831,0.0549981,-0.06872065,12.39655,6.456795,0.4251526,13.42571,5.469345,10.32292,-9.52877,5.589333,-0.5243759,0.03349738,-0.9939317,-0.09110567,-9.621049,5.266138,-0.2156808,0.9702284,0.09870291,-1.052658,-9.621049,5.266138,-1.052658,-11.0055,6.956879,-10.81097,3.614273,3.689896
638264963809594597,"sd10",24,"f","Right","Loom","e","comp",2,"playing","none","build_wall",13.24297,7.09024,9.86,2.461223,0.4896197,24.87356,12.26569,6.94651,0.02946252,-0.01527309,-0.06464815,0.04856069,12.39915,6.459849,0.4271576,0.04047216,0.05253386,-0.06923066,12.39755,6.458312,0.4260657,13.43335,5.526865,10.32857,-9.528481,5.589518,-0.5242615,0.03367707,-0.993776,-0.091647,-9.620641,5.265879,-0.2149722,0.9703566,0.09923452,-1.052155,-9.620641,5.265879,-1.052155,-10.99644,6.970052,-10.80936,3.586487,3.747101
638264963809694330,"sd10",24,"f","Right","Loom","e","comp",2,"playing","GameObject","build_wall",13.2097,7.028937,10.16,2.308223,0.324708,24.89089,12.26569,6.946547,0.02958789,-0.01549097,-0.06479228,0.04870387,12.39972,6.4614,0.4277965,0.03895831,0.04878968,-0.06857745,12.39852,6.459947,0.4269542,13.38853,5.581468,10.33898,-9.528193,5.589703,-0.524147,0.03385666,-0.9936163,-0.09218803,-9.620237,5.265619,-0.2142626,0.9704837,0.09976654,-1.051651,-9.620237,5.265619,-1.051651,-10.98736,6.983202,-10.80772,3.586487,3.747101
638264963809814017,"sd10",24,"f","Right","Loom","e","comp",2,"playing","none","build_wall",13.23895,7.124359,9.86,2.450901,0.5757871,24.87263,12.2657,6.946573,0.02969635,-0.01554284,-0.06509608,0.04885455,12.40012,6.463059,0.428597,0.03836965,0.04570022,-0.06828538,12.39914,6.461426,0.4276565,13.31749,5.618697,10.34967,-9.527904,5.589888,-0.5240326,0.03403617,-0.9934527,-0.09272885,-9.619832,5.26536,-0.2135532,0.9706098,0.1002981,-1.051147,-9.619832,5.26536,-1.051147,-10.97825,6.99635,-10.80606,3.615601,3.729919
638264963809923724,"sd10",24,"f","Right","Loom","e","comp",2,"playing","none","build_wall",13.23281,7.125565,9.86,2.435559,0.5788768,24.87405,12.26569,6.946573,0.02978761,-0.01552102,-0.06534615,0.04886542,12.40062,6.464602,0.4294855,0.03725792,0.04482988,-0.07022956,12.39965,6.463181,0.4286092,13.25764,5.636497,10.35738,-9.527616,5.590071,-0.5239182,0.03421568,-0.9932851,-0.09326973,-9.619425,5.2651,-0.2128435,0.9707349,0.1008297,-1.050644,-9.619425,5.2651,-1.050644,-10.96912,7.009474,-10.80439,3.603668,3.823715
638264963810043398,"sd10",24,"f","Right","Loom","e","comp",2,"playing","GameObject","build_wall",13.21024,7.067021,10.16,2.309369,0.4181501,24.88953,12.2657,6.946599,0.02987197,-0.01522084,-0.06597716,0.04900309,12.40046,6.466421,0.4303598,0.03552671,0.0474951,-0.07520078,12.39982,6.4648,0.4293749,13.24061,5.659723,10.36139,-9.527326,5.590256,-0.5238037,0.03439503,-0.9931136,-0.09381018,-9.619023,5.264841,-0.2121316,0.9708593,0.1013626,-1.05014,-9.619023,5.264841,-1.05014,-10.95998,7.022586,-10.80269,3.603668,3.823715
638264963810144763,"sd10",24,"f","Right","Loom","e","comp",2,"playing","GameObject","build_wall",13.1984,7.026056,10.16,2.280562,0.3176767,24.89339,12.26575,6.946543,0.02994002,-0.01504612,-0.06661606,0.04888291,12.40052,6.46784,0.431164,0.03264699,0.04880592,-0.07530123,12.40007,6.466395,0.4302877,13.2923,5.687705,10.35992,-9.527038,5.590439,-0.5236893,0.03457436,-0.9929382,-0.0943506,-9.618617,5.264582,-0.2114169,0.9709832,0.1018974,-1.049644,-9.618617,5.264582,-1.049644,-10.95079,7.03572,-10.80097,3.580887,3.836533
638264963810264444,"sd10",24,"f","Right","Loom","e","comp",2,"playing","GameObject","build_wall",13.18542,7.02148,10.16,2.249144,0.306641,24.89638,12.26569,6.946476,0.0300198,-0.0148462,-0.06738451,0.04866944,12.4005,6.469338,0.4319579,0.02936703,0.04851922,-0.0739036,12.40021,6.467851,0.4312004,13.32281,5.744388,10.36223,-9.526748,5.590624,-0.5235748,0.03475416,-0.9927582,-0.0948925,-9.618211,5.264322,-0.2106979,0.9711066,0.102435,-1.049141,-9.618211,5.264322,-1.049141,-10.94155,7.048885,-10.79922,3.609848,3.808853
638264963810374151,"sd10",24,"f","Right","Loom","e","comp",2,"playing","GameObject","build_wall",13.16805,6.98295,10.16,2.206935,0.2120596,24.90122,12.26568,6.946442,0.03011875,-0.01470295,-0.06805024,0.04851811,12.4005,6.470623,0.4328059,0.0251942,0.04693678,-0.07179283,12.40021,6.469122,0.4318839,13.32306,5.812695,10.36755,-9.525044,5.590818,-0.5230255,0.03561559,-0.9920441,-0.09483066,-9.614407,5.263542,-0.208229,0.9717081,0.1037862,-1.046021,-9.614407,5.263542,-1.046021,-10.92983,7.061579,-10.7947,3.641342,3.82222
638264963810493830,"sd10",24,"f","Right","Loom","e","comp",2,"playing","GameObject","build_wall",13.10579,7.017143,10.16,2.055086,0.2963559,24.91331,12.2656,6.946409,0.03017801,-0.01458839,-0.06886631,0.04845341,12.40052,6.472065,0.4334502,0.02120572,0.04351062,-0.07029874,12.40035,6.470514,0.4326513,13.2992,5.901293,10.37589,-9.523336,5.591013,-0.5224838,0.03647378,-0.9912334,-0.09475961,-9.610602,5.262762,-0.2057533,0.972279,0.1051343,-1.042904,-9.610602,5.262762,-1.042904,-10.83403,7.110487,-10.79427,3.641342,3.82222
638264963810593564,"sd10",24,"f","Right","Loom","e","comp",2,"playing","GameObject","build_wall",13.12844,6.938262,10.16,2.110708,0.1024616,24.91047,12.26557,6.946349,0.03031763,-0.01440423,-0.06966829,0.04835474,12.4003,6.473367,0.434242,0.01926924,0.04038024,-0.06814122,12.4003,6.47202,0.4334183,13.2376,5.988294,10.38656,-9.521629,5.591208,-0.5219345,0.03732862,-0.990326,-0.09467931,-9.606798,5.261982,-0.203271,0.9728197,0.1064793,-1.039787,-9.606798,5.261982,-1.039787,-10.73789,7.158844,-10.79287,3.652405,3.827957
638264963810693297,"sd10",24,"f","Right","Loom","e","comp",2,"playing","GameObject","build_wall",13.11219,6.933482,10.16,2.071118,0.09078109,24.91384,12.26553,6.946322,0.03044185,-0.01433705,-0.07064876,0.04845086,12.40026,6.474737,0.4351313,0.01772646,0.03863943,-0.0665191,12.40016,6.473271,0.4342581,13.17886,6.03417,10.39422,-9.519921,5.591402,-0.5213852,0.03817997,-0.9893221,-0.09458978,-9.602994,5.261204,-0.2007822,0.97333,0.107821,-1.036667,-9.602994,5.261204,-1.036667,-10.64144,7.206639,-10.79048,3.561996,3.690201
638264963810812977,"sd10",24,"f","Right","Loom","e","comp",2,"playing","GameObject","build_wall",13.18577,7.009099,10.16,2.250591,0.2767361,24.89672,12.26552,6.946271,0.03053665,-0.0141493,-0.07160163,0.0485304,12.39986,6.47604,0.4359635,0.01718309,0.03829822,-0.06625555,12.40007,6.474652,0.435124,13.14692,6.069853,10.39898,-9.518218,5.591597,-0.5208435,0.03902777,-0.9882217,-0.09449102,-9.599186,5.260424,-0.1982868,0.9738099,0.1091595,-1.03355,-9.599186,5.260424,-1.03355,-10.54467,7.253869,-10.78713,3.561996,3.690201
638264963810912709,"sd10",24,"f","Right","Loom","e","comp",2,"playing","GameObject","build_wall",13.1777,7.048682,10.16,2.230781,0.3742267,24.89729,12.26551,6.946199,0.03060703,-0.01385959,-0.07254198,0.04871303,12.39968,6.47736,0.4368164,0.01614621,0.0379627,-0.06611122,12.39971,6.475997,0.435982,13.1406,6.082659,10.40074,-9.516512,5.591791,-0.5202942,0.03987187,-0.987025,-0.09438305,-9.595382,5.259645,-0.195785,0.9742594,0.1104946,-1.030434,-9.595382,5.259645,-1.030434,-10.44762,7.300528,-10.78279,3.662079,3.715363
638264963811042362,"sd10",24,"f","Right","Loom","e","comp",2,"playing","GameObject","build_wall",13.15864,7.042458,10.16,2.184539,0.3592543,24.90161,12.2654,6.946089,0.03061952,-0.01347364,-0.07343662,0.04884315,12.39921,6.478834,0.4378451,0.01553271,0.038414,-0.06909747,12.39957,6.477336,0.4368623,13.1352,6.105206,10.40282,-9.514805,5.591988,-0.5197449,0.04071216,-0.9857319,-0.09426588,-9.591578,5.258865,-0.193277,0.9746785,0.1118264,-1.027317,-9.591578,5.258865,-1.027317,-10.35028,7.346608,-10.77748,3.647781,3.777084
