"","Participant","Condition","Trial","avgPlayWallDurration","avgViewWAllDurration","avgBuildWallDurration","playWallCounter","viewWallCounter","buildWallCounter","playWallTotalTime","viewWallTotalTime","buildWallTotalTime"
"1","sdP1","comp",2,808.521445098039,257.876542553191,636.460693283582,153,47,134,1237037811,121201975,852857329
"2","sdP1","solo",1,822.092800645161,372.172178723404,787.139133653846,155,47,104,1274243841,174920924,818624699
"3","sdP1","co",1,1169.54398409091,327.377089855072,1099.75168024691,132,69,81,1543798059,225890192,890798861
"4","sdP1","co",2,900.538034868421,274.977648,1241.50477604167,152,50,96,1368817813,137488824,1191844585
"5","sdP1","solo",2,712.578824742268,371.883,793.4610984375,194,58,128,1382402920,215692140,1015630206
"6","sdP1","comp",1,694.206399555556,253.481946153846,746.291323809524,225,39,126,1561964399,98857959,940327068
"7","sd10","comp",2,810.777432258064,315.818638888889,525.341778378378,155,18,148,1256705020,56847355,777505832
"8","sd10","solo",1,873.322197101449,802.3814,1350.59273398058,138,18,103,1205184632,144428652,1391110516
"9","sd10","solo",2,880.378083766234,449.510336,1086.13715789474,154,25,114,1355782249,112377584,1238196360
"10","sd10","co",1,1167.60724179104,498.584018181818,977.395809259259,134,11,108,1564593704,54844242,1055587474
"11","sd10","co",2,1178.29036587302,376.6237,1162.45657821782,126,14,101,1484645861,52727318,1174081144
"12","sd10","comp",1,694.996943518519,407.003933333333,671.893633742331,216,9,163,1501193398,36630354,1095186623
"13","sdP11","comp",2,802.612497222222,402.190587804878,1001.69812323232,180,41,99,1444702495,164898141,991681142
"14","sdP11","solo",1,935.912466891892,543.311221428571,921.472639805825,148,42,103,1385150451,228190713,949116819
"15","sdP11","solo",2,784.470479310345,462.402306122449,899.092843269231,174,49,104,1364978634,226577130,935056557
"16","sdP11","co",1,767.076100826446,158.828487037037,1275.20622941176,121,54,17,928162082,85767383,216785059
"17","sdP11","co",2,566.156004782609,230.557673873874,1174.23733333333,230,111,75,1302158811,255919018,880678000
"18","sdP11","co",1,659.247756818182,158.773415217391,1464.14876666667,44,46,3,290069013,73035771,43924463
"19","sdP11","co",1,746.713143349754,195.285002898551,1131.29766,203,69,75,1515827681,134746652,848473245
"20","sdP11","comp",1,815.202743975904,363.265104081633,990.095320588235,166,49,102,1353236555,177999901,1009897227
"21","sdP12","comp",2,632.893125806452,305.093386206897,1500.70695803571,124,58,112,784787476,176954164,1680791793
"22","sd12","solo",1,775.462680225989,260.249666129032,699.574948717949,177,62,156,1372568944,161354793,1091336920
"23","sdP12","solo",2,704.112035502959,367.39252,849.789651879699,169,65,133,1189949340,238805138,1130220237
"24","sdP12","co",1,1203.25246904762,375.484636111111,1307.30403538462,126,36,65,1516098111,135174469,849747623
"25","sd12","co",2,1259.56778849558,222.112269642857,1306.72808045977,113,56,87,1423311601,124382871,1136853430
"26","sdP12","comp",1,585.581530188679,289.134797674419,1844.41388613861,106,43,101,620716422,124327963,1862858025
"27","sdP2","comp",2,616.617655729167,158.676913043478,597.878607653061,192,69,196,1183905899,109487070,1171842071
"28","sdP2","solo",1,812.736919148936,431.384225,932.0933,47,16,38,381986352,69021476,354195454
"29","sdP2","co",1,1073.12199508197,215.8220064,1319.97526582278,122,125,79,1309208834,269777508,1042780460
"30","sdP2","co",2,1095.68104919355,201.113326865672,1421.14678902439,124,67,82,1358644501,134745929,1165340367
"31","sdP2","comp",1,857.135128985507,175.912178431373,1020.830675,138,51,132,1182846478,89715211,1347496491
"32","sdP2","solo",2,756.060209146342,319.642584210526,965.424317592593,164,57,108,1239938743,182196273,1042658263
"33","sdP3","comp",2,654.903219689119,426.599064772727,997.373702173913,193,88,92,1263963214,375407177,917583806
"34","sdP3","solo",1,854.939597101449,806.815683333333,1540.54565,138,18,84,1179816644,145226823,1294058346
"35","sdP3","solo",2,721.875638993711,569.983597297297,1207.37806880734,159,37,109,1147782266,210893931,1316042095
"36","sdP3","co",1,715.454402919708,489.10225625,1377.30085172414,137,80,87,980172532,391281805,1198251741
"37","sdP3","co",2,934.282276642336,465.984034146342,1547.67878548387,137,82,62,1279966719,382106908,959560847
"38","sdP3","comp",1,665.964976047904,764.191944444444,1316.83830348837,167,54,86,1112161510,412663650,1132480941
"39","sdP4","comp",2,890.615283625731,366.944677777778,1242.27723095238,171,27,84,1522952135,99075063,1043512874
"40","sdP4","solo",1,825.139442657343,307.170489795918,754.921038993711,143,49,159,1179949403,150513540,1200324452
"41","sdP4","solo",2,768.657094117647,916.134021428571,784.845167484663,153,14,163,1176045354,128258763,1279297623
"42","sdP4","co",1,830.314149655172,529.232528947368,647.193020359281,145,38,167,1203955517,201108361,1080812344
"43","sdP4","co",2,802.392696,428.440235185185,702.431386792453,150,54,159,1203589044,231357727,1116865905
"44","sdP4","comp",1,843.431983544304,326.9374375,557.421748717949,158,40,195,1332622534,130774975,1086972410
"45","sdP4","comp",2,920.856018,263.419628571429,744.383442168675,100,21,83,920856018,55318122,617838257
"46","sdP5","comp",2,718.117260818713,308.381682539683,818.084951282051,171,63,117,1227980516,194280460,957159393
"47","sdP5","solo",1,755.514247150259,322.565105555556,669.298897183099,193,72,142,1458142497,232246876,950404434
"48","sdP5","solo",2,807.874580882353,377.065813333333,655.239087786259,204,45,131,1648064145,169679616,858363205
"49","sdP5","co",1,937.245168627451,347.58051559633,919.780070967742,153,109,93,1433985108,378862762,855395466
"50","sdP5","co",2,1008.04902167832,350.523045333333,1004.7020969697,143,75,99,1441510101,262892284,994655076
"51","sdP5","comp",1,758.302352380952,299.398654878049,779.636838129496,168,82,139,1273947952,245506897,1083695205
"52","sdP7","co",2,694.177757803468,277.728933695652,898.6030765625,173,92,128,1200927521,255510619,1150211938
"53","sdP7","solo",1,589.092073134328,414.143669387755,705.158257553957,201,98,139,1184075067,405860796,980169978
"54","sdP7","solo",2,537.782734579439,310.815297468354,625.18332147651,214,158,149,1150855052,491088170,931523149
"55","sdP7","co",1,702.091966272189,368.006696875,996.402648181818,169,96,110,1186535423,353286429,1096042913
"56","sdP7","comp",1,642.344907211538,270.880995238095,696.69450794702,208,84,151,1336077407,227540036,1052008707
"57","sdP7","comp",2,721.112975384615,224.69656,554.204928313253,195,80,166,1406170302,179757248,919980181
"58","sdP8","comp",2,494.236812295082,193.392406779661,846.915421985816,244,59,141,1205937822,114101520,1194150745
"59","sdP8","solo",1,848.947446067416,429.497622641509,636.58471119403,178,53,134,1511126454,227633740,853023513
"60","sdP8","solo",2,857.527405555556,512.9842075,807.592912396694,162,40,121,1389194397,205193683,977187424
"61","sdP8","co",1,716.070995321637,298.751528571429,849.647948598131,171,112,107,1224481402,334601712,909123305
"62","sdP8","co",2,700.826939473684,240.731142,838.604507407407,190,100,108,1331571185,240731142,905692868
"63","sdP8","comp",1,446.520162222222,238.339402941176,591.185529411765,270,68,187,1205604438,162070794,1105516940
"64","sdP9","comp",2,669.960014351852,133.43011,456.598705217391,216,60,230,1447113631,80058066,1050177022
"65","sdP9","solo",1,678.537381290323,332.122006896552,1413.47966666667,155,58,102,1051732941,192630764,1441749260
"66","sdP9","solo",2,818.467275675676,342.98948,825.793203636364,185,55,110,1514164460,188644214,908372524
"67","sdP9","co",1,927.30019352518,269.448,780.930158695652,139,76,138,1288947269,204780480,1077683619
"68","sdP9","co",2,963.139245859873,240.9296734375,821.494803333333,157,64,120,1512128616,154194991,985793764
"69","sdP9","comp",1,710.937093442623,318.887168421053,667.213688950276,183,38,181,1301014881,121177124,1207656777
