"Participant","Condition","Trial","Group","grabPACcount","placePACcount","avgGrabPAC","avgPlacePAC","grabAreaPACcount","placeAreaPACcount","avgGrabAreaPAC","avgPlaceAreaPAC","avgGoldCubeGrab","totalGoldCubeGrabCount","avgBlueCubeGrab","totalBlueCubeGrabCount","avgRedCubeGrab","totalRedCubeGrabCount","avgWhiteCubeGrab","totalWhiteCubeGrabCount"
"P3","comp",2,"e",0,0,NA,NA,86,72,824.913648837209,689.163691666666,781.280315789474,19,880.571926086956,23,723.226860869565,23,914.803604761905,21
"P3","solo",1,"e",0,0,NA,NA,68,61,854.901919117647,518.90441147541,903.169675,4,818.452828571429,21,879.041232,25,853.172866666667,18
"P3","solo",2,"e",0,0,NA,NA,70,61,820.657331428572,472.682106557377,665.286166666667,12,891.97326,15,905.512118181818,22,769.605414285714,21
"P3","co",1,"e",0,0,NA,NA,23,0,889.081686956522,NA,1001.7415125,8,NA,0,870.70037,10,745.5886,5
"P3","co",2,"e",0,0,NA,NA,51,0,918.550247058824,NA,948.858627777778,18,NA,0,936.071415,20,849.629153846154,13
"P3","comp",1,"e",0,0,NA,NA,75,63,992.38344,665.180398412699,894.784338888889,18,1059.0515625,24,977.26914117647,17,1018.2391875,16
"P9","comp",2,"e",54,48,253.178896296296,954.01756875,88,60,618.021748863637,354.325636666667,657.3561,26,397.74335,38,410.487251428571,35,499.651502325581,43
"P9","solo",1,"e",77,37,299.022428571429,878.419178378378,74,62,821.604877027027,275.982727419355,508.917510526316,19,573.062442857143,42,604.592720930233,43,512.509480851064,47
"P9","solo",2,"e",81,65,284.752241975309,916.262221538462,82,77,642.617593902439,229.330907792208,350.469863888889,36,573.289966666667,39,501.871021428571,42,428.386252173913,46
"P9","co",1,"e",21,14,906.192314285714,930.275578571429,29,24,756.765517241379,520.264779166667,1047.7790173913,23,NA,0,502.250890909091,11,709.5350875,16
