"Participant","Condition","Trial","Group","grabPACcount","placePACcount","avgGrabPAC","avgPlacePAC","grabAreaPACcount","placeAreaPACcount","avgGrabAreaPAC","avgPlaceAreaPAC"
"P3","comp",2,"e",0,0,NA,NA,86,72,824.913648837209,689.163691666666
"P3","solo",1,"e",0,0,NA,NA,68,61,854.901919117647,518.90441147541
"P3","solo",2,"e",0,0,NA,NA,70,61,820.657331428572,472.682106557377
"P3","co",1,"e",0,0,NA,NA,15,0,828.996446666667,NA
"P3","co",2,"e",0,0,NA,NA,33,0,902.018403030303,NA
"P3","comp",1,"e",0,0,NA,NA,75,63,992.38344,665.180398412699
"P9","comp",2,"e",54,48,253.178896296296,954.01756875,88,60,618.021748863637,354.325636666667
"P9","solo",1,"e",77,37,299.022428571429,878.419178378378,74,62,821.604877027027,275.982727419355
"P9","solo",2,"e",81,65,284.752241975309,916.262221538462,82,77,642.617593902439,229.330907792208
"P9","co",1,"e",10,14,306.71572,930.275578571429,17,24,812.362588235294,520.264779166667
"P9","comp",1,"e",65,52,298.370707692308,966.5611,103,67,699.443180582524,434.073753731343
"P2","solo",1,"e",0,0,NA,NA,73,0,573.914494520548,NA
"P2","solo",2,"e",0,0,NA,NA,76,0,823.756218421052,NA
"P2","co",1,"e",0,0,NA,NA,23,0,985.514047826087,NA
"P2","comp",1,"e",0,0,NA,NA,86,0,963.454161627907,NA
"P4","comp",2,"e",0,0,NA,NA,78,68,732.687543589743,547.877055882353
"P4","solo",1,"e",0,0,NA,NA,63,66,929.418011111111,489.94431969697
"P4","solo",2,"e",0,0,NA,NA,58,60,887.043072413793,403.221041666667
"P4","co",1,"e",0,0,NA,NA,15,0,1104.27762666667,NA
"P4","co",2,"e",0,0,NA,NA,20,28,796.54491,518.013460714286
"P4","comp",1,"e",0,0,NA,NA,112,50,778.32965625,515.684872
"P5","comp",1,"e",53,47,312.800143396226,711.245302127659,70,61,870.668861428571,494.596134426229
"P5","solo",2,"e",27,21,349.823540740741,674.633,27,28,949.155288888889,274.402021428571
"P5","co",1,"e",25,0,451.000472,NA,16,0,885.99858125,NA
"P5","co",2,"e",21,18,259.831885714286,835.8419,19,23,1015.52826315789,737.77667826087
"P6","comp",2,"e",59,35,304.215869491525,989.272005714286,85,72,733.752827058824,638.525716666667
"P6","solo",1,"e",47,22,342.263380851064,552.633345454545,50,48,747.75661,326.565939583333
"P6","solo",2,"e",71,33,309.888222535211,627.508366666667,71,70,832.633395774648,299.910291428571
"P6","co",1,"e",11,5,367.341263636364,244.61752,10,12,854.59674,667.484325
"P6","co",2,"e",27,21,377.214018518518,522.662595238095,26,33,1171.90459615385,348.070893939394
"P6","comp",1,"e",60,37,312.598546666667,891.832354054054,86,67,809.725453488372,477.544252238806
"Py","comp",2,"e",50,39,282.16287,1040.37952051282,65,59,637.120630769231,658.463318644068
"P7","solo",1,"e",68,47,440.880847058824,547.481187234043,60,59,1063.29535,628.925750847458
"P7","solo",2,"e",73,54,352.910120547945,563.417311111111,66,72,945.637322727273,475.037743055556
"P7","co",1,"e",27,13,375.668181481481,729.280484615384,25,31,893.025844,587.470635483871
"P7","co",2,"e",21,19,517.96860952381,570.672857894737,21,25,790.902228571429,679.241432
"P7","comp",1,"e",51,39,371.721343137255,769.976505128205,70,63,801.605101428571,563.651476190477
"sdP1","comp",2,"e",51,50,350.630666666667,864.06191,77,74,745.594103896104,338.714256756757
"sdP1","solo",1,"e",69,43,387.187247826087,530.567011627907,68,62,878.286676470588,427.105980645161
"sdP1","co",1,"e",22,19,446.462286363636,416.231757894737,23,25,1028.33613043478,539.750016
"sdP1","co",2,"f",25,16,379.084088,563.55403125,23,26,729.360030434783,432.5293
"sdP1","solo",2,"e",83,53,357.138231325301,693.914843396226,87,81,768.528010344828,345.901072839506
"sdP1","comp",1,"e",55,49,428.989167272727,650.887195918368,78,75,750.921482051282,361.493790666667
"sd10","comp",2,"e",56,60,375.240744642857,987.834548333334,87,78,688.317179310345,345.838997435898
"sd10","solo",1,"e",77,51,506.515205194805,888.862819607843,73,66,744.032057534247,500.91061969697
"sd10","solo",2,"e",84,68,456.776935714286,867.564510294118,86,80,829.820913953488,420.67198375
"sd10","co",1,"e",33,25,477.5452,410.043108,31,29,908.89994516129,478.013906896552
"sd10","co",2,"e",32,26,419.34985,617.148961538462,34,30,969.881538235294,462.582203333333
"sd10","comp",1,"1",75,74,334.194746666667,831.993351351352,97,88,669.212916494846,400.035722727273
"sdP11","comp",2,"e",56,24,386.179685714286,897.160066666666,74,73,806.610790540541,374.209243835617
"sdP11","solo",1,"e",48,5,474.515108333333,233.3742,52,50,798.599805769231,321.283446
"sdP11","solo",2,"e",45,8,345.204811111111,400.7034625,62,62,734.970611290322,281.770659677419
"sdP11","co",2,"e",15,5,412.269253333333,1215.41596,24,28,807.362083333333,331.852871428572
"sdP11","co",1,"e",16,2,267.77805,163.7018,23,24,688.6851,348.3954
"sdP11","comp",1,"e",51,20,356.915049019608,888.201495,74,70,750.913972972973,321.397525714286
"sdP12","comp",2,"e",38,29,271.162257894737,1101.70946551724,53,46,623.8226,272.070571739131
"sd12","solo",1,"e",94,42,374.813922340425,907.548957142857,93,70,785.957047311828,314.25068
"sdP12","solo",2,"e",69,30,271.308268115942,653.550253333333,73,56,691.022616438356,274.158660714286
"sdP12","co",1,"e",19,10,424.784084210526,387.0276,17,16,710.783482352941,491.42999375
"sd12","co",2,"e",24,9,335.4196875,449.026888888889,24,18,788.643341666667,465.436888888889
"sdP12","comp",1,"e",38,27,261.971905263158,1292.87446296296,50,37,491.510704,268.111910810811
"sdP13","comp",1,"e",49,33,276.618620408163,952.931148484848,85,71,568.137108235294,228.911394366197
