,Participant,Condition,Trial,grabPACcount,placePACcount,avgGrabPAC,avgPlacePAC,grabAreaPACcount,placeAreaPACcount,avgGrabAreaPAC,avgPlaceAreaPAC
1,P9,comp,2,54,48,253.1788963,954.0175688,88,60,618.0217489,354.3256367
2,P9,solo,1,77,37,299.0224286,878.4191784,74,62,821.604877,275.9827274
3,P9,solo,2,81,65,284.752242,916.2622215,82,77,642.6175939,229.3309078
4,P9,co,1,10,14,306.71572,930.2755786,17,24,812.3625882,520.2647792
5,P9,comp,1,65,52,298.3707077,966.5611,103,67,699.4431806,434.0737537
6,sdP1,comp,2,51,50,350.6306667,864.06191,77,74,745.5941039,338.7142568
7,sdP1,solo,1,69,43,387.1872478,530.5670116,68,62,878.2866765,427.1059806
8,sdP1,co,1,22,19,446.4622864,416.2317579,23,25,1028.33613,539.750016
9,sdP1,co,2,25,16,379.084088,563.5540313,23,26,729.3600304,432.5293
10,sdP1,solo,2,83,53,357.1382313,693.9148434,87,81,768.5280103,345.9010728
11,sdP1,comp,1,55,49,428.9891673,650.8871959,78,75,750.9214821,361.4937907
12,sd10,comp,2,56,60,375.2407446,987.8345483,87,78,688.3171793,345.8389974
13,sd10,solo,1,77,51,506.5152052,888.8628196,73,66,744.0320575,500.9106197
14,sd10,solo,2,84,68,456.7769357,867.5645103,86,80,829.820914,420.6719838
15,sd10,co,1,33,25,477.5452,410.043108,31,29,908.8999452,478.0139069
16,sd10,co,2,32,26,419.34985,617.1489615,34,30,969.8815382,462.5822033
17,sd10,comp,1,75,74,334.1947467,831.9933514,97,88,669.2129165,400.0357227
18,sdP11,comp,2,56,24,386.1796857,897.1600667,74,73,806.6107905,374.2092438
19,sdP11,solo,1,48,5,474.5151083,233.3742,52,50,798.5998058,321.283446
20,sdP11,solo,2,45,8,345.2048111,400.7034625,62,62,734.9706113,281.7706597
22,sdP11,co,2,15,5,412.2692533,1215.41596,24,28,807.3620833,331.8528714
23,sdP11,co,1,16,2,267.77805,163.7018,23,24,688.6851,348.3954
24,sdP11,comp,1,51,20,356.915049,888.201495,74,70,750.913973,321.3975257
25,sdP12,comp,2,38,29,271.1622579,1101.709466,53,46,623.8226,272.0705717
26,sd12,solo,1,94,42,374.8139223,907.5489571,93,70,785.9570473,314.25068
27,sdP12,solo,2,69,30,271.3082681,653.5502533,73,56,691.0226164,274.1586607
28,sdP12,co,1,19,10,424.7840842,387.0276,17,16,710.7834824,491.4299938
29,sd12,co,2,24,9,335.4196875,449.0268889,24,18,788.6433417,465.4368889
30,sdP12,comp,1,38,27,261.9719053,1292.874463,50,37,491.510704,268.1119108
31,sdP13,comp,1,49,33,276.6186204,952.9311485,85,71,568.1371082,228.9113944
32,sdP13,solo,1,74,37,444.9303027,1091.441576,80,70,689.2592088,280.4175157
33,sdP13,solo,2,77,32,305.3534351,998.1469438,81,74,563.8539111,259.5911446
34,sdP13,co,1,33,20,342.2414333,740.83172,38,32,762.34605,292.0456719
35,sdP13,co,2,27,13,279.7500778,472.6935308,34,30,661.6665412,306.5754267
36,sdP13,comp,1,54,41,276.7237333,838.7810488,89,72,550.898936,254.9023153
37,sdP14,comp,2,113,37,367.0813186,724.9729,141,47,898.4100489,393.4332638
38,sdP14,solo,1,68,43,315.6145632,1167.582895,73,71,691.0224356,359.5759423
39,sdP14,solo,2,63,50,299.0245444,821.658102,67,64,814.9184731,293.5721219
40,sdP14,co,1,22,14,281.8947091,404.6822786,22,23,886.9694045,486.341613
41,sdP14,comp,1,46,39,283.825087,969.2770744,69,51,735.0230348,353.5648922
42,sdP15,comp,2,67,40,389.2009478,1091.937885,95,66,693.6316642,324.1786258
