"Participant","Condition","Trial","Group","grabPACcount","placePACcount","avgGrabPAC","avgPlacePAC","grabAreaPACcount","placeAreaPACcount","avgGrabAreaPAC","avgPlaceAreaPAC","avgGoldCubeGrab","totalGoldCubeGrabCount","avgBlueCubeGrab","totalBlueCubeGrabCount","avgRedCubeGrab","totalRedCubeGrabCount","avgWhiteCubeGrab","totalWhiteCubeGrabCount","grab2PlaceTime","grab2PlaceCount"
"P3","comp",2,"e",0,0,NA,NA,86,73,824.913648837209,692.860950684931,781.280315789474,19,880.571926086956,23,723.226860869565,23,914.803604761905,21,1316.77621822034,59
"P3","solo",1,"e",0,0,NA,NA,68,61,854.901919117647,518.90441147541,903.169675,4,818.452828571429,21,879.041232,25,853.172866666667,18,1423.01653645833,60
"P3","solo",2,"e",0,0,NA,NA,70,61,820.657331428572,472.682106557377,665.286166666667,12,891.97326,15,905.512118181818,22,769.605414285714,21,1467.52864583333,63
"P3","co",1,"e",0,0,NA,NA,23,18,889.081686956522,858.537694444444,1001.7415125,8,NA,0,870.70037,10,745.5886,5,2364.072265625,12
"P3","co",2,"e",0,0,NA,NA,51,41,918.550247058824,679.320009756097,948.858627777778,18,NA,0,936.071415,20,849.629153846154,13,1614.44324448529,34
"P3","comp",1,"e",0,0,NA,NA,75,64,992.38344,668.4111234375,894.784338888889,18,1059.0515625,24,977.26914117647,17,1018.2391875,16,1408.76968149038,52
"P9","comp",2,"e",54,48,253.178896296296,954.01756875,88,61,618.021748863637,379.683037704918,657.3561,26,397.74335,38,410.487251428571,35,499.651502325581,43,828.472486413043,46
"P9","solo",1,"e",77,37,299.022428571429,878.419178378378,74,62,821.604877027027,275.982727419355,508.917510526316,19,573.062442857143,42,604.592720930233,43,512.509480851064,47,932.475818452381,63
"P9","solo",2,"e",81,65,284.752241975309,916.262221538462,82,77,642.617593902439,229.330907792208,350.469863888889,36,573.289966666667,39,501.871021428571,42,428.386252173913,46,833.429790296053,76
"P9","co",1,"e",21,14,906.192314285714,930.275578571429,29,24,756.765517241379,520.264779166667,1047.7790173913,23,NA,0,502.250890909091,11,709.5350875,16,1185.55408653846,13
"P9","comp",1,"e",65,54,298.370707692308,936.188431481481,103,69,699.443180582524,445.545407246377,812.989292592593,27,529.909566666667,42,525.75018627451,51,425.3452375,48,853.172926682692,52
"nuP10","comp",2,"c",58,80,247.831936206897,1118.85134125,86,104,601.499039534884,385.205772115385,584.641556,25,387.6346875,40,407.4304025,40,504.731466666667,39,809.442661830357,56
"nuP10","solo",1,"c",84,54,336.767930952381,833.084570370371,84,81,730.474165476191,373.976712345679,635.548026315789,19,564.20288,45,468.905869491525,59,544.852171111111,45,1618.56086033951,81
"nuP10","solo",2,"c",86,49,299.240909302326,943.21973877551,86,81,688.891743023256,274.823,607.495790322581,31,398.156729545454,44,587.341761702128,47,420.461594,50,826.37763671875,80
"nuP10","co",1,"c",24,13,276.864233333333,495.977138461538,40,24,882.86452,467.965375,967.206225,16,NA,0,557.316880645161,31,541.599970588235,17,1327.810546875,20
"nuP10","co",2,"c",56,21,765.838775,701.874457142857,64,35,912.686925,497.902234285714,1163.90989423077,52,NA,0,616.085706666667,45,567.467969565217,23,1088.77375,25
"nuP10","comp",1,"c",64,79,256.4268734375,1090.21156329114,98,105,574.776940816326,395.708325714286,658.110907142857,28,425.251391489362,47,465.359674418605,43,325.342575,44,840.181380208333,60
"nuP11","comp",2,"e",22,30,254.230022727273,888.938976666666,70,57,748.123294285714,456.985370175439,738.673393023256,43,492.352846153846,13,623.112123529412,17,484.48642631579,19,1196.07778532609,23
"nuP11","solo",1,"e",77,40,399.550271428571,1249.300745,84,81,772.428221428572,247.469902469136,800.01775,16,501.889036170213,47,668.896277777778,54,525.906222727273,44,868.806616512346,81
"nuP11","solo",2,"e",44,46,288.251806818182,914.955452173913,65,66,752.60106,294.805042424242,609.379644,25,524.930482352941,34,578.758946666667,30,557.862625,20,829.587575604839,62
"nuP11","co",1,"e",33,6,934.629578787879,488.250916666667,48,24,1099.87118958333,683.389729166666,1340.12737954545,44,NA,0,657.813454166667,24,683.343507692308,13,1151.75694444444,18
"nuP11","co",2,"e",35,14,956.115925714286,879.155771428572,46,34,838.59742826087,557.366038235294,1107.5916,39,NA,0,695.479491891892,37,622.1451,5,1024.874609375,20
"nuP11","comp",1,"e",28,39,250.211975,876.015894871794,77,70,705.281931168831,349.794735714286,788.082577777778,27,411.008815384615,26,562.963792857143,28,566.049958333333,24,972.370065789474,38
"p012","comp",2,"e",65,57,384.193135384615,1230.10906842105,101,94,431.688186138614,386.869292553191,481.485751851852,27,368.59407173913,46,449.367297777778,45,383.251866666667,48,931.631460336538,52
"nuP12","solo",1,"e",84,34,359.348933333333,842.024414705882,85,81,867.128917647059,339.700711111111,665.308883333333,24,598.852878846154,52,558.339578571429,42,653.593003921569,51,909.297357253086,81
"p012","solo",2,"e",94,47,367.718082978723,1024.94541914894,97,91,742.024578350516,302.761758241758,614.864271052632,38,526.843461538462,52,553.130495652174,46,551.585069090909,55,841.487007472826,92
"p012","co",1,"e",42,14,785.34794047619,472.6744,50,28,833.83403,685.908164285714,1215.44862647059,34,NA,0,582.683841463415,41,556.530835294118,17,1216.59730113636,22
"p012","co",2,"e",51,22,672.634394117647,631.746172727273,53,43,785.609115094339,603.33776744186,1031.821071875,32,NA,0,618.9958,41,565.95274516129,31,1092.20942540323,31
"p012","comp",1,"e",74,65,317.902383783784,933.651092307692,111,116,411.752636936937,375.50965862069,393.576864,25,390.56568,55,429.344616,50,298.937350909091,55,1008.09979166667,75
"nuP13","comp",2,"e",52,62,274.454288461538,830.315638709678,86,84,666.9008,547.935826190476,669.779682608696,23,503.430935,40,487.508963157895,38,474.529218918919,37,1026.40728183962,53
"nuP13","solo",1,"e",63,37,352.421292063492,499.341021621622,58,62,896.199727586207,406.949464516129,623.076584615385,13,587.947102439024,41,672.034190625,32,584.891562857143,35,1041.02467757937,63
"nuP13","solo",2,"e",63,47,375.073153968254,523.9619,59,63,763.49083559322,455.514514285714,546.260746153846,26,564.627528,25,550.019651282051,39,590.8229375,32,992.131380208333,60
"nuP13","co",1,"e",30,15,525.021103333333,311.706606666667,41,25,737.069148780488,882.659064,850.76,25,NA,0,540.279772,25,533.070185714286,21,1438.55504261364,22
"nuP13","co",2,"e",39,20,478.017053846154,336.669855,47,34,979.570178723404,859.703447058823,955.949817857143,28,NA,0,672.432023529412,34,627.215825,24,1372.97991071429,28
"nuP13","comp",1,"e",46,62,280.994276086957,641.083312903226,82,80,704.432143902439,475.6426675,624.956136363636,22,544.025115384615,39,480.532246666667,30,575.870016216216,37,961.784375,45
"nuP14","comp",2,"e",47,56,343.996595744681,663.693292857143,69,93,685.65425942029,395.528568817204,627.925266666667,12,485.237453658537,41,679.898390909091,33,453.716606666667,30,717.488731971154,52
"nuP14","solo",1,"e",88,45,346.344323863636,824.695928888889,92,79,718.697060869565,317.515267088608,590.66476,25,605.657009433962,53,489.03063,50,486.162655769231,52,840.664824695122,82
"nuP14","solo",2,"e",88,48,301.737385227273,741.76220625,93,76,684.971176344086,261.171207894737,375.962986206897,29,545.337961111111,36,491.039231818182,66,546.230536,50,754.512952302632,76
"nuP14","co",1,"e",54,23,894.270009259259,905.369069565217,63,40,877.058609523809,502.7912575,1111.61443392857,56,NA,0,684.375212195122,41,661.774045,20,975.001674107143,28
"nuP14","co",2,"e",51,25,719.085501960784,466.965576,59,35,953.116811864407,549.856337142857,1267.84576,45,NA,0,533.133973170732,41,583.154183333333,24,955.881655092593,27
