"","TimeEpoch","condition","MeanPercent","MeanPupilSize"
"1",-2,"co",6.18643368870258,4.07036371262372
"2",-2,"comp",5.66898650499597,4.15625305473323
"3",-2,"solo",5.64307296303014,4.21782605156407
"4",-1.9,"co",6.57480625373142,4.07369444059135
"5",-1.9,"comp",5.78878412508558,4.16130957974598
"6",-1.9,"solo",5.77844616286911,4.22125306497111
"7",-1.8,"co",6.25511719252335,4.07030787986392
"8",-1.8,"comp",6.0415797922256,4.17427245194424
"9",-1.8,"solo",6.13281657651606,4.23345286055374
"10",-1.7,"co",5.98000941629475,4.06497643133073
"11",-1.7,"comp",6.29470805142043,4.18312761231458
"12",-1.7,"solo",6.31131264563071,4.2409592282817
"13",-1.6,"co",6.16950150816165,4.0676057236418
"14",-1.6,"comp",6.42950738639451,4.18846788888185
"15",-1.6,"solo",6.22047550278174,4.24088496068611
"16",-1.5,"co",6.44071788832818,4.07596373976267
"17",-1.5,"comp",6.497500780427,4.18993686301228
"18",-1.5,"solo",6.35739395431736,4.24543806194316
"19",-1.4,"co",6.51625759383573,4.071821840195
"20",-1.4,"comp",6.66279209477428,4.19719174271981
"21",-1.4,"solo",6.52415282262804,4.25190505549267
"22",-1.3,"co",5.93581342236829,4.05838608166553
"23",-1.3,"comp",6.75076678866255,4.20218899844549
"24",-1.3,"solo",6.60498744952758,4.25560033200978
"25",-1.2,"co",5.62937647465373,4.04540636121002
"26",-1.2,"comp",6.6676275128358,4.20054997681346
"27",-1.2,"solo",6.41374266651151,4.2518267098321
"28",-1.1,"co",5.39419359270579,4.03778607954131
"29",-1.1,"comp",6.62602596385727,4.20018358383829
"30",-1.1,"solo",6.17426844262576,4.24537268513635
"31",-1,"co",5.23828060821001,4.02885583258818
"32",-1,"comp",6.53207794137014,4.1953256172591
"33",-1,"solo",6.06328906639306,4.24201016009961
"34",-0.9,"co",5.00393771119648,4.02126047651313
"35",-0.9,"comp",6.36655101642813,4.19115985376512
"36",-0.9,"solo",5.72255395002953,4.23098522967482
"37",-0.8,"co",4.72816942270369,4.01112053410254
"38",-0.8,"comp",6.16494131715441,4.18182294769976
"39",-0.8,"solo",5.51101528136413,4.22117714432482
"40",-0.7,"co",4.68757890508909,4.00472051379355
"41",-0.7,"comp",5.9112127652126,4.17085887368412
"42",-0.7,"solo",5.32338048086371,4.21229349656991
"43",-0.6,"co",4.04390672653589,3.98040008613094
"44",-0.6,"comp",5.81249793688606,4.1652779964344
"45",-0.6,"solo",4.94082638686827,4.19720999953488
"46",-0.5,"co",3.94585398084314,3.97988480154393
"47",-0.5,"comp",5.53289433487284,4.15486657378295
"48",-0.5,"solo",4.59081124638629,4.1853028024245
"49",-0.4,"co",3.04173270567919,3.9529901129643
"50",-0.4,"comp",4.97450134765555,4.13604968034473
"51",-0.4,"solo",3.7636500889091,4.15754471871428
"52",-0.3,"co",2.50159157763625,3.93412065604935
"53",-0.3,"comp",4.16405872253259,4.10996181541071
"54",-0.3,"solo",2.77572039309898,4.12105083229519
"55",-0.2,"co",1.90544153511058,3.91166964850439
