"Participant","Condition","Trial","Group","avgPlayWallDurration","avgViewWAllDurration","avgBuildWallDurration","avgPlayerDurration","playWallCounter","viewWallCounter","buildWallCounter","playerCounter","playWallTotalTime","viewWallTotalTime","buildWallTotalTime","playerTotalTime"
"P3","comp",2,"e",1034.32363517241,887.421066666667,1057.49146078431,34.0022,145,6,102,1,1499769271,53245264,1078641290,340022
"P3","solo",1,"e",1070.2024300885,574.909127586207,1236.87251214953,NA,113,29,107,0,1209328746,166723647,1323453588,0
"P3","solo",2,"e",1063.27783916667,628.909881818182,1274.94595714286,NA,120,22,98,0,1275933407,138360174,1249447038,0
"P3","co",1,"e",2250.76896595745,826.0963625,2182.98210212766,21.9994,47,8,47,1,1057861414,66087709,1026001588,219994
"P3","co",2,"e",1379.81199052632,410.4881,1704.45251917808,172.877533333333,95,21,73,3,1310821391,86202501,1244250339,5186326
"P3","comp",1,"e",1079.27232440945,517.00931,1089.78874433962,NA,127,10,106,0,1370675852,51700931,1155176069,0
"P9","comp",2,"e",1074.18498695652,247.408768965517,704.753531092437,48.50415,161,29,119,2,1729437829,71748543,838656702,970083
"P9","solo",1,"e",1181.72683783784,571.527960869565,843.641597241379,NA,111,23,145,0,1311716790,131451431,1223280316,0
"P9","solo",2,"e",1083.34930072993,886.710809677419,692.56706875,NA,137,31,128,0,1484188542,274880351,886485848,0
"P9","co",1,"e",1884.76302592593,418.098177272727,2376.8750525,100.58094,54,22,40,5,1017772034,91981599,950750021,5029047
"P9","comp",1,"e",954.521979069768,275.204405405405,527.777446107784,NA,172,37,167,0,1641777804,101825630,881388335,0
"P2","solo",1,"e",755.061125555556,199.39735,945.509924761905,NA,90,2,105,0,679555013,3987947,992785421,0
"P2","solo",2,"e",1214.18001716418,647.250171428571,881.746296460177,NA,134,7,113,0,1627001223,45307512,996373315,0
"P2","co",1,"e",1311.27110824742,978.510358333333,1518.74211428571,291.20282,97,12,77,5,1271932975,117421243,1169431428,14560141
"P2","comp",1,"e",1014.9639007874,181.08675,1077.22212389381,73.50025,127,6,113,2,1289004154,10865205,1217261000,1470005
"P4","comp",2,"e",920.271507878788,447.229364,907.101157894737,154.9996,165,25,95,1,1518447988,111807341,861746100,1549996
"P4","solo",1,"e",892.032064705882,576.580938636364,1013.93067358491,NA,153,44,106,0,1364809059,253695613,1074766514,0
