"","Participant","Condition","Trial","avgPlayWallDurration","avgViewWAllDurration","avgBuildWallDurration","avgPlayerDurration","playWallCounter","viewWallCounter","buildWallCounter","playerCounter","playWallTotalTime","viewWallTotalTime","buildWallTotalTime","playerTotalTime"
"1","sdP1","comp",2,870.060928169014,280.582474418605,686.709627419355,329.9317,142,43,124,4,1235486518,120650464,851519938,13197268
"2","sdP1","solo",1,883.855298611111,481.907163888889,869.49184893617,NA,144,36,94,0,1272751630,173486579,817322338,0
"3","sdP1","co",1,1234.07456,380.600725423729,1218.79794109589,290.1513,125,59,73,1,1542593200,224554428,889722497,2901513
"4","sdP1","co",2,1050.22832692308,310.591025,1400.41757764706,NA,130,44,85,0,1365296825,136660051,1190354941,0
"5","sdP1","solo",2,766.993958888889,496.991704651163,896.969111504425,NA,180,43,113,0,1380589126,213706433,1013575096,0
"6","sdP1","comp",1,753.300970048309,280.902177142857,860.495965137615,28.5212,207,35,109,1,1559333008,98315762,937940602,285212
"7","sd10","comp",2,848.606098648649,353.9246,579.037411940299,21.9252666666667,148,16,134,3,1255937026,56627936,775910132,657758
"8","sd10","solo",1,926.41266,802.3814,1478.85358723404,NA,130,18,94,0,1204336458,144428652,1390122372,0
"9","sd10","solo",2,953.844616901408,509.400031818182,1156.4627364486,NA,142,22,107,0,1354459356,112068007,1237415128,0
"10","sd10","co",1,1240.85164603175,606.607488888889,1121.32149255319,120.537083333333,126,9,94,6,1563473074,54594674,1054042203,7232225
"11","sd10","co",2,1246.24960588235,476.256536363636,1289.05631648352,25.1691333333333,119,11,91,3,1483037031,52388219,1173041248,755074
"12","sd10","comp",1,757.000281313131,520.1563,764.340299300699,90.26716,198,7,143,5,1498860557,36410941,1093006628,4513358
"13","sdP11","comp",2,906.466754716981,481.625297058823,1032.64797708333,185.4802,159,34,96,1,1441282140,163752601,991342058,1854802
"14","sdP11","solo",1,1017.34665588235,667.893167647059,1064.23253033708,NA,136,34,89,0,1383591452,227083677,947166952,0
"15","sdP11","solo",2,887.916290196078,624.530769444444,1003.68411290323,NA,153,36,93,0,1358511924,224831077,933426225,0
"16","sdP11","co",1,857.836141666667,187.856106666667,1354.03403125,249.785077777778,108,45,16,18,926463033,84535248,216645445,44961314
"17","sdP11","co",2,675.42742565445,290.440983908046,1417.50625645161,128.751911111111,191,87,62,9,1290066383,252683656,878853879,11587672
"18","sdP11","co",1,722.6549775,184.866487179487,1464.14876666667,309.796126923077,40,39,3,26,289061991,72097930,43924463,80546993
"19","sdP11","co",1,863.245382285714,263.20694,1323.121715625,68.9514076923077,175,50,64,13,1510679419,131603470,846797898,8963683
"20","sdP11","comp",1,877.542750649351,431.432431707317,1073.14494148936,110.3283,154,41,94,2,1351415836,176887297,1008756245,2206566
"21","sdP12","comp",2,693.138502654867,373.294072340426,1630.77010485437,303.0668,113,47,103,1,783246508,175448214,1679693208,3030668
"22","sd12","solo",1,861.697874842767,339.403685106383,800.382464705882,NA,159,47,136,0,1370099621,159519732,1088520152,0
"23","sdP12","solo",2,812.70140479452,439.580766666667,997.933534513274,NA,146,54,113,0,1186544051,237373614,1127664894,0
"24","sdP12","co",1,1294.77895897436,420.660734375,1438.88098644068,152.314944444444,117,32,59,9,1514891382,134611435,848939782,13708345
"25","sd12","co",2,1354.4032352381,262.161225531915,1513.74142933333,45.505725,105,47,75,4,1422123397,123215776,1135306072,1820229
"26","sdP12","comp",1,637.522828865979,372.64526969697,2068.31300666667,93.83495,97,33,90,4,618397144,122972939,1861481706,3753398
"27","sdP2","comp",2,693.936029411765,195.388876363636,679.361940697674,NA,170,55,172,0,1179691250,107463882,1168502538,0
