"","Participant","Condition","Trial","avgPlayWallDurration","avgViewWAllDurration","avgBuildWallDurration","avgPlayerDurration","playWallCounter","viewWallCounter","buildWallCounter","playerCounter","playWallTotalTime","viewWallTotalTime","buildWallTotalTime","playerTotalTime"
"1",NA,"co",2,433.714641176471,NA,NA,104.7689,34,0,0,1,147462978,0,0,1047689
"2","P2","solo",1,755.061125555556,199.39735,945.509924761905,NA,90,2,105,0,679555013,1.97030761013566e-317,4.90501170208139e-315,0
"3","P2","solo",2,1214.18001716418,647.250171428571,881.746296460177,NA,134,7,113,0,1627001223,2.238488517774e-316,4.92273825374459e-315,0
"4","P2","co",1,1311.27110824742,978.510358333333,1518.74211428571,291.20282,97,12,77,5,1271932975,5.80138022582769e-316,5.77775893741871e-315,14560141
"5","P2","comp",1,1014.9639007874,181.08675,1077.22212389381,73.50025,127,6,113,2,1289004154,5.36812452552254e-317,6.01406842122362e-315,1470005
"6","P3","comp",2,1034.32363517241,887.421066666667,1057.49146078431,34.0022,145,6,102,1,1499769271,2.63066557461477e-316,5.32919605574885e-315,340022
"7","P3","solo",1,1070.2024300885,574.909127586207,1236.87251214953,NA,113,29,107,0,1209328746,8.2372426332063e-316,6.53872951696135e-315,0
"8","P3","solo",2,1063.27783916667,628.909881818182,1274.94595714286,NA,120,22,98,0,1275933407,6.83590087260172e-316,6.17308857773903e-315,0
"9","P3","co",1,2250.76896595745,826.0963625,2182.98210212766,21.9994,47,8,47,1,1057861414,3.26516666292534e-316,5.06912137209365e-315,219994
"10","P3","co",2,1379.81199052632,410.4881,1704.45251917808,172.877533333333,95,21,73,3,1310821391,4.25896943296957e-316,6.14741347326225e-315,5186326
"11","P3","comp",1,1079.27232440945,517.00931,1089.78874433962,NA,127,10,106,0,1370675852,2.55436538651087e-316,5.70732810590837e-315,0
"12","P4","comp",2,920.271507878788,447.229364,907.101157894737,154.9996,165,25,95,1,1518447988,5.52401661409575e-316,4.25759143447675e-315,1549996
"13","P4","solo",1,892.032064705882,576.580938636364,1013.93067358491,NA,153,44,106,0,1364809059,1.25342286883936e-315,5.31005211867955e-315,0
"14","P4","solo",2,897.551884444444,890.269767741936,1065.44782897196,NA,135,31,107,0,1211695044,1.3635402940943e-315,5.6324925161237e-315,0
"15","P4","co",1,1145.91303545455,928.973036666667,1393.98742741935,218.393352941176,110,30,62,17,1260504339,1.37692098998946e-315,4.27007205145963e-315,37126870
"16","P4","co",2,1041.3683974359,880.721264705882,1545.00428714286,157.144371428571,117,17,70,7,1218401025,7.39728004770153e-316,5.34333478668311e-315,11000106
"17","P4","comp",1,989.172890229885,506.498203846154,794.519223255814,127.6013,174,26,86,10,1721160829,6.50632741721771e-316,3.37588401727206e-315,12760130
"18","P5","comp",1,869.454961313869,444.204558,1231.10633163265,NA,137,50,98,0,1191153297,1.09733105916948e-315,5.96082397940588e-315,0
"19","P5","solo",2,1030.11658,527.214077777778,1758.97650851064,NA,45,18,47,0,463552461,4.68861054900975e-316,4.08453436407538e-315,0
"20","P5","co",1,1110.49715813953,441.87510877193,2502.90652545455,143.680433333333,86,57,55,3,955027556,1.24439727268048e-315,6.80130070938434e-315,4310413
"21","P5","co",2,1007.7407675,638.036611904762,1762.83457195122,96.4988,80,42,82,2,806192614,1.32397427707057e-315,7.14183921067932e-315,1929976
"22","P6","comp",2,759.381191666667,229.79815952381,733.75904520548,NA,168,42,146,0,1275760402,4.76848579612695e-316,5.292866993795e-315,0
"23","P6","solo",1,732.866969230769,323.413802173913,877.293713095238,NA,117,46,84,0,857454354,7.35023185607126e-316,3.64090175360406e-315,0
"24","P6","solo",2,1025.43954657534,441.2793625,994.880452747253,NA,146,40,91,0,1497141738,8.72083892919904e-316,4.47297990613477e-315,0
"25","P6","co",1,949.894718888889,770.732961363636,1354.62465892857,270.150925,90,44,56,8,854905247,1.67548778463995e-315,3.74793163912173e-315,21612074
"26","P6","co",2,1173.48108632479,485.099156603774,1150.55039761905,245.42186,117,53,84,5,1372972871,1.27025538895378e-315,4.77495837228949e-315,12271093
"27","P6","comp",1,851.773307843137,294.159540540541,765.203687581699,61.00095,153,37,153,2,1303213161,5.37736256496848e-316,5.78433106780888e-315,1220019
"28","Py","comp",2,1029.00261366906,1100.77767894737,1171.29511149425,140.9995,139,19,87,1,1430313633,1.03332722626584e-315,5.0346610788606e-315,1409995
"29","P7","solo",1,1262.40548504673,702.859042857143,1248.79887444444,NA,107,21,90,0,1350773869,7.29242864583607e-316,5.55289760185395e-315,0
"30","P7","solo",2,1228.53037348485,1341.55348333333,996.432913684211,NA,132,12,95,0,1621660093,7.95378585808389e-316,4.67688107485021e-315,0
"31","P7","co",1,1199.97520857143,656.127504444444,1516.12519722222,170.529566666667,105,45,72,9,1259973969,1.45876526656897e-315,5.39327069814085e-315,15347661
"32","P7","co",2,1400.58287356322,586.16629,2379.26371272727,146.269342857143,87,30,55,7,1218507100,8.68813879917652e-316,6.46531854570383e-315,10238854
"33","P7","comp",1,1151.08545833333,798.176315384615,1187.23505212766,NA,132,13,94,0,1519432805,5.12656945782392e-316,5.51377729627129e-315,0
"34","P9","comp",2,1074.18498695652,247.408768965517,704.753531092437,48.50415,161,29,119,2,1729437829,3.54484902354634e-316,4.1435146511272e-315,970083
"35","P9","solo",1,1181.72683783784,571.527960869565,843.641597241379,NA,111,23,145,0,1311716790,6.49456361537711e-316,6.04380779369424e-315,0
"36","P9","solo",2,1083.34930072993,886.710809677419,692.56706875,NA,137,31,128,0,1484188542,1.35808938145884e-315,4.37982203021245e-315,0
"37","P9","co",1,1884.76302592593,418.098177272727,2376.8750525,100.58094,54,22,40,5,1017772034,4.54449481154456e-316,4.69732923158944e-315,5029047
"38","P9","comp",1,954.521979069768,275.204405405405,527.777446107784,NA,172,37,167,0,1641777804,5.03085456491418e-316,4.35463696968716e-315,0
"39","sdP1","comp",2,870.060928169014,280.582474418605,686.709627419355,329.9317,142,43,124,4,1235486518,5.96092494172061e-316,4.20706748114668e-315,13197268
"40","sdP1","solo",1,883.855298611111,481.907163888889,869.49184893617,NA,144,36,94,0,1272751630,8.57137586984234e-316,4.03810888784448e-315,0
"41","sdP1","co",1,1234.07456,380.600725423729,1218.79794109589,290.1513,125,59,73,1,1542593200,1.10944628496332e-315,4.39581320099792e-315,2901513
"42","sdP1","co",2,1050.22832692308,310.591025,1400.41757764706,NA,130,44,85,0,1365296825,6.75190363580127e-316,5.88113482705484e-315,0
"43","sdP1","solo",2,766.993958888889,496.991704651163,896.969111504425,NA,180,43,113,0,1380589126,1.05585006840574e-315,5.00772634413843e-315,0
"44","sdP1","comp",1,753.300970048309,280.902177142857,860.495965137615,28.5212,207,35,109,1,1559333008,4.85744404489043e-316,4.63404229287858e-315,285212
"45","sd10","comp",2,848.606098648649,353.9246,579.037411940299,21.9252666666667,148,16,134,3,1255937026,2.79779177724968e-316,3.83350540481347e-315,657758
"46","sd10","solo",1,926.41266,802.3814,1478.85358723404,NA,130,18,94,0,1204336458,7.13572352283606e-316,6.86811707520546e-315,0
"47","sd10","solo",2,953.844616901408,509.400031818182,1156.4627364486,NA,142,22,107,0,1354459356,5.53689522565963e-316,6.11364304389049e-315,0
"48","sd10","co",1,1240.85164603175,606.607488888889,1121.32149255319,120.537083333333,126,9,94,6,1563473074,2.69733528693023e-316,5.20766041769125e-315,7232225
"49","sd10","co",2,1246.24960588235,476.256536363636,1289.05631648352,25.1691333333333,119,11,91,3,1483037031,2.58832192547077e-316,5.79559381791542e-315,755074
"50","sd10","comp",1,757.000281313131,520.1563,764.340299300699,90.26716,198,7,143,5,1498860557,1.79893950808525e-316,5.40017025571583e-315,4513358
"51","sdP11","comp",2,906.466754716981,481.625297058823,1032.64797708333,185.4802,159,34,96,1,1441282140,8.0904534571249e-316,4.8978805413536e-315,1854802
"52","sdP11","solo",1,1017.34665588235,667.893167647059,1064.23253033708,NA,136,34,89,0,1383591452,1.1219424353701e-315,4.67962651859365e-315,0
"53","sdP11","solo",2,887.916290196078,624.530769444444,1003.68411290323,NA,153,36,93,0,1358511924,1.11081311263188e-315,4.61173830699782e-315,0
"54","sdP11","co",2,675.42742565445,290.440983908046,1417.50625645161,128.751911111111,191,87,62,9,1290066383,1.24842313695167e-315,4.3421150932822e-315,11587672
"55","sdP11","co",1,863.245382285714,263.20694,1323.121715625,68.9514076923077,175,50,64,13,1510679419,6.50207534004991e-316,4.1837375037238e-315,8963683
"56","sdP11","comp",1,877.542750649351,431.432431707317,1073.14494148936,110.3283,154,41,94,2,1351415836,8.73939366334174e-316,4.98391805682316e-315,2206566
"57","sdP12","comp",2,693.138502654867,373.294072340426,1630.77010485437,303.0668,113,47,103,1,783246508,8.66829351616032e-316,8.29878709625675e-315,3030668
"58","sd12","solo",1,861.697874842767,339.403685106383,800.382464705882,NA,159,47,136,0,1370099621,7.88132194150026e-316,5.37800411909092e-315,0
"59","sdP12","solo",2,812.70140479452,439.580766666667,997.933534513274,NA,146,54,113,0,1186544051,1.17278147906581e-315,5.57140484146611e-315,0
"60","sdP12","co",1,1294.77895897436,420.660734375,1438.88098644068,152.314944444444,117,32,59,9,1514891382,6.6506885570892e-316,4.19431981674157e-315,13708345
"61","sd12","co",2,1354.4032352381,262.161225531915,1513.74142933333,45.505725,105,47,75,4,1422123397,6.08766819472704e-316,5.60915727690169e-315,1820229
"62","sdP12","comp",1,637.522828865979,372.64526969697,2068.31300666667,93.83495,97,33,90,4,618397144,6.07567045280312e-316,9.19694161296555e-315,3753398
"63","sdP13","comp",1,556.378331674208,230.231411965812,719.858742105263,34.1559,221,117,133,4,1229596113,1.33086834557622e-315,4.73024440862497e-315,1366236
"64","sdP13","solo",1,770.773236931818,304.126408108108,641.0341425,NA,176,74,160,0,1356560897,1.1119122357709e-315,5.06740716192883e-315,0
"65","sdP13","solo",2,589.216105882353,251.336321052632,574.67555862069,NA,204,114,174,0,1202000856,1.41561371634024e-315,4.94033764773252e-315,0
"66","sdP13","co",1,932.1448921875,290.383429457364,770.6681352,199.053,128,129,125,1,1193145462,1.85074334835219e-315,4.75950812433571e-315,1990530
"67","sdP13","co",2,743.303025,269.782529545455,758.825514285714,188.0833,168,132,119,3,1248749082,1.75943169199459e-315,4.46142445177701e-315,5642499
"68","sdP13","comp",1,560.246239336493,226.769048550725,657.492128767123,NA,211,138,146,0,1182119565,1.54613539072046e-315,4.74272638922903e-315,0
"69","sdP14","comp",2,1449.95325083333,268.224816666667,830.401545192308,NA,120,24,104,0,1739943901,3.1804960146496e-316,4.26683790762327e-315,0
"70","sdP14","solo",1,729.558466197183,408.448996153846,1316.45778125,NA,142,26,112,0,1035973022,5.24681604402693e-316,7.28466551585938e-315,0
"71","sdP14","solo",2,842.32894589372,335.587735849057,2184.40966899225,723.313475,207,53,129,8,1743620918,8.78752568677929e-316,1.39222188832135e-314,57865078
"72","sdP14","co",1,1040.58576666667,291.970334782609,1426.40238256881,133.36444,99,23,109,5,1030179909,3.31780777647965e-316,7.68162691666952e-315,6668222
"73","sdP14","comp",1,1127.26329008264,260.741913636364,1282.72040714286,417.1404,121,22,98,2,1363988581,2.83411968308992e-316,6.21073124661007e-315,8342808
"74","sdP15","comp",2,750.398645017182,273.024047272727,1049.31594268293,120.127153488372,291,110,164,43,2183660057,1.4838098247059e-315,8.50226772617577e-315,51654676
"75","sdP15","solo",1,752.360545762712,354.294022580645,759.636727777778,NA,177,31,144,0,1331678166,5.42637965760399e-316,5.40446991140533e-315,0
"76","sdP15","solo",2,630.028964761905,381.629957446809,690.104310204082,NA,210,47,147,0,1323060826,8.86186181572127e-316,5.01206542626647e-315,0
"77","sdP15","co",1,817.146864606742,261.529522972973,944.263012631579,102.80395,178,74,95,10,1454521419,9.56174369789043e-316,4.43201519420831e-315,10280395
"78","sdP15","co",2,933.218000719424,347.57548,1300.26912258065,56.8481,139,40,93,3,1297173021,6.86900416019125e-316,5.97449022548171e-315,1705443
"79","sdP15","comp",1,624.722273493976,132.735094827586,697.780541860465,NA,249,58,129,0,1555558461,3.80363132040385e-316,4.44726718349972e-315,0
"80","sdP2","comp",2,693.936029411765,195.388876363636,679.361940697674,NA,170,55,172,0,1179691250,5.30942122649375e-316,5.77316961104106e-315,0
"81","sdP2","solo",1,848.262142222222,490.557507142857,956.920416216216,NA,45,14,37,0,381717964,3.39314656224331e-316,1.7492915627892e-315,0
"82","sdP2","co",1,1177.52203333333,265.965774,1531.22791764706,147.4423,111,100,68,3,1307049457,1.31404551902977e-315,5.1443843484246e-315,4423269
"83","sdP2","co",2,1180.07973130435,254.69615,1573.27065810811,157.3211,115,52,74,2,1357091691,6.54350412783751e-316,5.75201247998136e-315,3146422
"84","sdP2","comp",1,922.9854640625,231.246628947368,1149.93062051282,NA,128,38,117,0,1181421394,4.34153857302072e-316,6.64725221194662e-315,0
"85","sdP2","solo",2,825.36152,377.094225,1062.61681530612,NA,150,48,98,0,1238042280,8.94284648724621e-316,5.14502413873268e-315,0
"86","sdP3","comp",2,720.436912571428,497.945205333333,1158.98626202532,29.4779,175,75,79,1,1260764597,1.84513214599924e-315,4.52366083894249e-315,294779
