"TimeEpoch","MeanPercentChange","Meanpupil","condition","group","Participant"
-1,19.3068294234633,5.7744245522792,"comp","e","P3"
-0.9,19.1902341708722,5.78541245601574,"comp","e","P3"
-0.8,16.2559872461626,5.74126575631437,"comp","e","P3"
-0.7,16.0815155378738,5.77413579285778,"comp","e","P3"
-0.6,16.9183815625758,5.78671790935324,"comp","e","P3"
-0.5,15.872420105937,5.73555332738063,"comp","e","P3"
-0.4,15.5592278121955,5.70317257112497,"comp","e","P3"
-0.3,16.6587906522944,5.72799030743237,"comp","e","P3"
-0.2,14.354430248532,5.69971817855072,"comp","e","P3"
-0.1,14.5580323179518,5.64140143527863,"comp","e","P3"
0,12.4824583038199,5.46170688421996,"comp","e","P3"
0.1,15.4907041997739,5.61303224918301,"comp","e","P3"
0.2,15.7019335662442,5.62892804817057,"comp","e","P3"
0.3,17.8477342356046,5.57396526075277,"comp","e","P3"
0.4,22.4173323986582,5.60199141696386,"comp","e","P3"
0.5,21.2056602241185,5.6668818313317,"comp","e","P3"
0.6,19.8551090733617,5.74663781419482,"comp","e","P3"
0.7,20.1442884992854,5.79506731825966,"comp","e","P3"
0.8,19.8923286033811,5.74387896101315,"comp","e","P3"
0.9,18.864273581551,5.7250774730474,"comp","e","P3"
1,18.2697755661461,5.70205259174312,"comp","e","P3"
-1,11.2552685990313,6.01664422463768,"solo","e","P3"
-0.9,8.8270058811494,5.99580827247316,"solo","e","P3"
-0.8,8.95597266391102,5.99132271555789,"solo","e","P3"
-0.7,10.7627074029384,6.01970149252739,"solo","e","P3"
-0.6,10.7408133193316,6.02888639130338,"solo","e","P3"
-0.5,11.8646087771738,6.00468971712784,"solo","e","P3"
-0.4,10.9602073950205,5.96764900251501,"solo","e","P3"
-0.3,10.3478169326327,5.90487713225926,"solo","e","P3"
-0.2,9.36964171665506,5.85604781155556,"solo","e","P3"
-0.1,8.22509512187177,5.80148357777778,"solo","e","P3"
0,7.65127783153534,5.77506333150361,"solo","e","P3"
0.1,7.82499281595626,5.78628495351852,"solo","e","P3"
0.2,8.19925728832255,5.80109295995281,"solo","e","P3"
0.3,9.63484974903787,5.85793979883157,"solo","e","P3"
0.4,8.53115300205952,5.85551596046627,"solo","e","P3"
0.5,11.4636515628308,5.96442202222222,"solo","e","P3"
0.6,10.3144436650176,5.93799466314162,"solo","e","P3"
0.7,10.5951715108881,5.87834970625,"solo","e","P3"
0.8,10.7739063534577,5.91454188015266,"solo","e","P3"
0.9,9.93445680139708,5.88600913758182,"solo","e","P3"
1,10.2686526858511,5.89408059836921,"solo","e","P3"
-1,10.3357568757565,5.82764499460784,"solo","e","P3"
-0.9,10.2635640462007,5.85160677087302,"solo","e","P3"
-0.8,9.76281594348522,5.83886595440009,"solo","e","P3"
-0.7,9.87523126263737,5.82833273733609,"solo","e","P3"
-0.6,10.947510774929,5.86286950426448,"solo","e","P3"
-0.5,10.7555133987976,5.83120444237878,"solo","e","P3"
-0.4,10.2886129877084,5.81114657185258,"solo","e","P3"
-0.3,9.11987382646405,5.74049550296547,"solo","e","P3"
-0.2,7.88967838717415,5.67757639756006,"solo","e","P3"
-0.1,6.82154363262498,5.62357501348134,"solo","e","P3"
0,6.22460944540689,5.59409221254826,"solo","e","P3"
0.1,6.11033478407355,5.59102564219219,"solo","e","P3"
0.2,6.32836949402661,5.60364377061883,"solo","e","P3"
0.3,6.08984211030389,5.60589492017084,"solo","e","P3"
0.4,4.5979854720322,5.60491535497354,"solo","e","P3"
0.5,5.64744789905621,5.69674128075397,"solo","e","P3"
0.6,8.2617044476831,5.70978051668376,"solo","e","P3"
0.7,8.69145902168671,5.72182646219391,"solo","e","P3"
0.8,7.80983449245109,5.665764734951,"solo","e","P3"
0.9,7.25281275268213,5.64277329362674,"solo","e","P3"
1,7.70201583856247,5.66637559814815,"solo","e","P3"
-1,7.0227484381063,5.58625750789474,NA,NA,NA
-0.9,7.30607390894097,5.57925824444444,NA,NA,NA
