Time,Participant,Age,Sex,Handedness,Task,Group,Condition,Trial,Event,CurrentGazeTarget,CurrentGazeArea,EyePos_X,EyePos_Y,EyePos_Z,eyeAngleX,eyeAngleY,eyeAngleZ,HeadPos_X,HeadPos_Y,HeadPos_Z,HeadRot_X,HeadRot_Y,HeadRot_Z,HandPos_X,HandPos_Y,HandPos_Z,HandRot_X,HandRot_Y,HandRot_Z,RayCast_StartPos_X,RayCast_StartPos_Y,RayCast_StartPos_Z,RayCast_EndPos_X,RayCast_EndPos_Y,RayCast_EndPos_Z,Partner_HeadPos_X,Partner_HeadPos_Y,Partner_HeadPos_Z,Partner_HeadRot_X,Partner_HeadRot_Y,Partner_HeadRot_Z,Partner_HandPos_X,Partner_HandPos_Y,Partner_HandPos_Z,Partner_HandRot_X,Partner_HandRot_Y,Partner_HandRot_Z,Partner_RayCast_StartPos_X,Partner_RayCast_StartPos_Y,Partner_RayCast_StartPos_Z,Partner_RayCast_EndPos_X,Partner_RayCast_EndPos_Y,Partner_RayCast_EndPos_Z,RightPupil,LeftPupil
638245873289809932,,,,Right,Loom,,co,2,playing,none,background_wall,3.640734,14.65596,-19.05005,-8.001284,9.632423,-21.63754,10.5243,6.425968,-0.4462931,0.02718259,0.8739606,0.08250338,12.08,5.57,0,0,0.9037399,0,12.08,5.57,0,4.342503,5.57,-6.334914,-10.40401,8.129786,0.5140343,0.07112929,-0.1876211,-0.001204601,-10.23,7.33,0,0.9037399,0,-0.2200089,-10.23,7.33,-0.2200089,-17.9675,7.33,-6.554923,-1,-1
638245873289970167,,,,Right,Loom,,co,2,playing,none,background_wall,3.640641,14.65598,-19.05005,-8.001284,9.632423,-21.63754,10.52423,6.425962,-0.4462183,0.0271652,0.8739667,0.08255291,12.08,5.57,0,0,0.9037399,0,12.08,5.57,0,4.342503,5.57,-6.334914,-10.40401,8.129786,0.5140343,0.07112929,-0.1876211,-0.001204601,-10.23,7.33,0,0.9037399,0,-0.2200089,-10.23,7.33,-0.2200089,-17.9675,7.33,-6.554923,-1,-1
638245873290119929,,,,Right,Loom,,co,2,playing,none,background_wall,3.64069,14.65595,-19.05005,-8.001284,9.632423,-21.63754,10.52427,6.425939,-0.4462397,0.02718957,0.8739811,0.08251521,12.08,5.57,0,0,0.9037399,0,12.08,5.57,0,4.342503,5.57,-6.334914,-10.40401,8.129786,0.5140343,0.07112929,-0.1876211,-0.001204601,-10.23,7.33,0,0.9037399,0,-0.2200089,-10.23,7.33,-0.2200089,-17.9675,7.33,-6.554923,-1,-1
638245873290249934,,,,Right,Loom,,co,2,playing,none,background_wall,3.640715,14.65595,-19.05005,-8.001284,9.632423,-21.63754,10.52431,6.425926,-0.4462217,0.02720856,0.8739838,0.08256397,12.08,5.57,0,0,0.9037399,0,12.08,5.57,0,4.342503,5.57,-6.334914,-10.40401,8.129786,0.5140343,0.07112929,-0.1876211,-0.001204601,-10.23,7.33,0,0.9037399,0,-0.2200089,-10.23,7.33,-0.2200089,-17.9675,7.33,-6.554923,-1,-1
638245873290380148,,,,Right,Loom,,co,2,playing,none,background_wall,3.640824,14.65598,-19.05005,-8.001284,9.632423,-21.63754,10.5244,6.425981,-0.4462757,0.02720981,0.8739656,0.08248719,12.08,5.57,0,0,0.9037399,0,12.08,5.57,0,4.342503,5.57,-6.334914,-10.40401,8.129786,0.5140343,0.07112929,-0.1876211,-0.001204601,-10.23,7.33,0,0.9037399,0,-0.2200089,-10.23,7.33,-0.2200089,-17.9675,7.33,-6.554923,-1,-1
638245873290520036,,,,Right,Loom,,co,2,playing,none,background_wall,3.640862,14.65589,-19.05005,-8.001284,9.632423,-21.63754,10.52441,6.425924,-0.4463481,0.02725082,0.8739505,0.08248752,12.08,5.57,0,0,0.9037399,0,12.08,5.57,0,4.342503,5.57,-6.334914,-10.40401,8.129786,0.5140343,0.07112929,-0.1876211,-0.001204601,-10.23,7.33,0,0.9037399,0,-0.2200089,-10.23,7.33,-0.2200089,-17.9675,7.33,-6.554923,-1,-1
638245873290670375,,,,Right,Loom,,co,2,playing,none,background_wall,3.640905,14.65586,-19.05005,-8.001284,9.632423,-21.63754,10.52445,6.425892,-0.4463538,0.02718199,0.8739744,0.08250406,12.08,5.57,0,0,0.9037399,0,12.08,5.57,0,4.342503,5.57,-6.334914,-10.40401,8.129786,0.5140343,0.07112929,-0.1876211,-0.001204601,-10.23,7.33,0,0.9037399,0,-0.2200089,-10.23,7.33,-0.2200089,-17.9675,7.33,-6.554923,-1,-1
638245873290800037,,,,Right,Loom,,co,2,playing,none,background_wall,3.640804,14.65597,-19.05005,-8.001284,9.632423,-21.63754,10.52437,6.425978,-0.4462891,0.0271755,0.8739902,0.08245125,12.08,5.57,0,0,0.9037399,0,12.08,5.57,0,4.342503,5.57,-6.334914,-10.40401,8.129786,0.5140343,0.07112929,-0.1876211,-0.001204601,-10.23,7.33,0,0.9037399,0,-0.2200089,-10.23,7.33,-0.2200089,-17.9675,7.33,-6.554923,-1,-1
638245873290940400,,,,Right,Loom,,co,2,playing,none,background_wall,3.640888,14.65591,-19.05005,-8.001284,9.632423,-21.63754,10.52444,6.425946,-0.4463459,0.02726647,0.8739241,0.08254334,12.08,5.57,0,0,0.9037399,0,12.08,5.57,0,4.342503,5.57,-6.334914,-10.40401,8.129786,0.5140343,0.07112929,-0.1876211,-0.001204601,-10.23,7.33,0,0.9037399,0,-0.2200089,-10.23,7.33,-0.2200089,-17.9675,7.33,-6.554923,-1,-1
638245873291070027,,,,Right,Loom,,co,2,playing,none,background_wall,3.640903,14.65592,-19.05005,-8.001284,9.632423,-21.63754,10.52445,6.425946,-0.4463416,0.02721925,0.8739591,0.08253669,12.08,5.57,0,0,0.9037399,0,12.08,5.57,0,4.342503,5.57,-6.334914,-10.40401,8.129786,0.5140343,0.07112929,-0.1876211,-0.001204601,-10.23,7.33,0,0.9037399,0,-0.2200089,-10.23,7.33,-0.2200089,-17.9675,7.33,-6.554923,-1,-1
